<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
Star: -5*(z^3/3-Z/4)/2 , Gwiazda: -5*(z^3/3-Z/4)/2
Stars , Gwiazdy
Stars (Outline) , Gwiazdy (kontur)
Start Angle , Kąt startu
Start Color , Kolor startowy
Start Frame Number , Numer ramy startowej
Start of Mid-Tones , Początek tonów średnich
Starting Angle , Kąt początkowy
Starting Color , Kolor początkowy
Starting Feathering , Rozpoczęcie pierzenia
Starting Frame , Rama startowa
Starting Level , Poziom wyjściowy
Starting Pattern , Wzór początkowy
Starting Point , Punkt startowy
Starting Point (%) , Punkt początkowy (%)
Starting Scale (%) , Skala początkowa (%)
Starting Value , Wartość początkowa
Stationary Frames , Ramy stacjonarne
Std Angle (deg.) , Kąt Std (deg.)
Std Branching , Oddział Std
Std Length Factor (%) , Std Współczynnik długości (%)
Std Thickness Factor (%) , Std Współczynnik grubości (%)
Stencil Type , Typ szablonu
Step , Krok
Step (%) , Stopień (%)
Steps , Kroki
Stereo Image , Obraz Stereo
Stereo Window Position , Pozycja okna Stereo
Stereographic Projection , Projekcja stereograficzna
Stereoscopic Image Alignment , Stereoskopowe wyrównywanie obrazu
Stereoscopic Window Position , Stereoskopowa pozycja okna
Straight , Prosto
Strands , Nitki
Street , Ulica
Strength , Siła
Strength (%) , Siła (%)
Strength Effect , Efekt siły
Strength Highlights , Mocne strony
Strength Midtones , Siła Midtonów
Strength Shadows , Siła Cienie (Strength Shadows)
Stretch Contrast , Kontrast rozciągający
Stretch Factor , Czynnik rozciągający (Stretch Factor)
Stripe Orientation , Orientacja pasków
Stroke Angle , Kąt uderzenia
Stroke Length , Długość skoku
Stroke Strength , Wytrzymałość na uderzenia
Strong , Silny
Structure Smoothness , Struktura Gładkość
Style , Styl
Style Variations , Zmiany w stylu
Stylize , Styliza
Subdivisions , Pododdziały
Subpixel Interpolation , Interpolacja subpikselowa
Subpixel Level , Poziom subpikseli
Subsampling (%) , Pobieranie podpróbek (%)
Subtle Blue , Subtelny błękit
Subtle Green , Subtelna zieleń
Subtle Yellow , Subtelnie żółty
Subtract , Odejmij
Subtractive , Odejmowalne
Summer , Lato
Summer (alt) , Lato (alt)
Sunny , Słoneczny
Sunny (alt) , Słoneczny (alt)
Sunny (rich) , Słoneczny (bogaty)
Sunny (warm) , Słonecznie (ciepło)
Super Warm , Super Ciepło
Super Warm (rich) , Super ciepły (bogaty)
Super-Pixels , Super-Piksele
Superformula , Superformuła
Superimpose with Original? , Nakładać z Oryginałem?
Surface Disturbance , Zakłócenia powierzchniowe
Surface Disturbance Multiplier , Zakłócenia powierzchniowe Mnożnik
Swap Layers , Warstwy zamienne
Swap Radius / Angle , Promień zamiany / Kąt
Sweet Gelatto , Słodka żelatynka
Symmetric 2D Shape , Symetryczny kształt 2D
Symmetrize , Symetryzuj
Symmetry , Symetria
Symmetry Sides , Symetria Strony
Synthesis Scale , Skala syntezy
Tangent Radius , Promień styczny
Target Color #1 , Kolor docelowy #1
Target Color #10 , Kolor docelowy #10
Target Color #11 , Kolor docelowy #11
Target Color #12 , Kolor docelowy #12
Target Color #13 , Kolor docelowy #13
Target Color #14 , Kolor docelowy #14
Target Color #15 , Kolor docelowy #15
Target Color #16 , Kolor docelowy #16
Target Color #17 , Kolor docelowy #17
Target Color #18 , Kolor docelowy #18
Target Color #19 , Kolor docelowy #19
Target Color #2 , Kolor docelowy #2
Target Color #20 , Kolor docelowy #20
Target Color #21 , Kolor docelowy #21
Target Color #22 , Kolor docelowy #22
Target Color #23 , Kolor docelowy #23
Target Color #24 , Kolor docelowy #24
Target Color #3 , Kolor docelowy #3
Target Color #4 , Kolor docelowy #4
Target Color #5 , Kolor docelowy #5
Target Color #6 , Kolor docelowy #6
Target Color #7 , Kolor docelowy #7
Target Color #8 , Kolor docelowy #8
Target Color #9 , Kolor docelowy #9
TechnicalFX - Backlight Filter , TechnicalFX - Filtr podświetlający
Temperature Balance , Bilans temperaturowy
Ten Layers , Dziesięć warstw
Tension Green 1 , Napięcie Zielony 1
Tension Green 2 , Napięcie Zielony 2
Tension Green 3 , Napięcie Zielony 3
Tension Green 4 , Napięcie Zielony 4
Tertiary Factor , Czynnik trzeciorzędny
Tertiary Gamma , Trzeciorzędowa Gamma
Tertiary Shift , Trzeciorzędna zmiana
Tertiary Twist , Trzeciorzędny Twist
Text , Tekst
Texture , Tekstura
Texture Enhance , Wzmocnienie tekstury
Textured Glass , Szkło teksturowane
The Matrices , Matryce
Thickness , Grubość
Thickness (%) , Grubość (%)
Thickness (px) , Grubość (px)
Thickness Factor , Współczynnik grubości
Thin Edges , Cienkie krawędzie
Thin Separators , Cienki Separator
Thinness , Cienkość
Thinning , Przerzedzanie
Thinning (Slow) , Przerzedzanie (Powoli)
Three Layers , Trzy warstwy
Threshold , Próg
Threshold (%) , Próg (%)
Threshold High , Wysoki próg
Threshold Low , Niski próg
Threshold Max , Próg Max
Threshold Mid , Próg Mid
Threshold On , Próg włączony
Thumbnail Size , Wielkość miniatury
Tiger , Tygrys
Tikhonov , Tichonow
Tile Poles , Kafelki
Tile Size , Wielkość płytek
Tileable Rotation , Obrót płytami stolikowymi
Tiled Isolation , Izolacja kafelkowa
Tiled Normalization , Normalizacja kafelkowa
Tiled Parameterization , Parametryzacja płytek
Tiled Preview , Podgląd kafelkowy
Tiled Random Shifts , Przypadkowe zmiany kafelkowe (Tiled Random Shifts)
Tiled Rotation , Obrót kafelkami
Tiles , Płytki
Tiles to Layers , Kafelki do warstw
Tilt , Przechylenie
Time , Czas
Time Step , Krok czasowy
Timed Image , Obraz czasowy
Tiny , Malutki
To Nadir / Zenith , Do Nadiru / Zenitu
Toggle to View Base Image , Przełączanie do widoku obrazu podstawowego
Tolerance , Tolerancja
Tolerance to Gaps , Tolerancja na luki
Tonal Bandwidth , Tonalna szerokość pasma
Tone Blur , Rozmycie tonalne
Tone Enhance , Wzmocnienie tonu
Tone Mapping [Fast] , Tone Mapping [Szybko]
Tone Mapping Fast , Szybkie mapowanie tonów
Tone Presets , Ustawienia tonów
Tone Threshold , Próg tonalny
Tones Range , Tony Range
Tones Smoothness , Tony Gładkość
Tones to Layers , Tony do warstw
Top Layer , Warstwa wierzchnia
Top Left , Górna lewa strona
Top Right , Na górze, po prawej stronie
Top-Left Vertex (%) , Wierzchołek lewy-prawy (%)
Top-Right Vertex (%) , Wierzchołek prawy (%)
Total Layers , Warstwy ogółem
Total Variation , Całkowite wahania
Transfer Colors [Histogram] , Kolory transferowe [Histogram]
Transfer Colors [Patch-Based] , Kolory transferowe [na bazie plastrów]
Transfer Colors [PCA] , Kolory transferowe [PCA]
Transfer Colors [Variational] , Kolory transferowe [Variational]
Transform , Transformacja
Transition Map , Mapa przejściowa
Transition Shape , Przejściowy kształt
Transition Smoothness , Przejście Gładkość
Transmittance Map , Mapa przekaźnikowa
Transparency , Przejrzystość
Transparent , Przejrzysty
Transparent Background , Przejrzyste tło
Transparent Black & White , Przezroczysty czarno-biały
Transparent Color , Kolor transparentny
Transparent on Black , Przejrzysty na czarno
Transparent on White , Przejrzysty na białym
Transparent Skin , Przejrzysta skóra
Tree , Drzewo
Triangle , Trójkąt
Triangles , Trójkątów
Triangles (Outline) , Trójkątów (kontur)
Triangular Ha , Trójkątny Ha
Triangular Hb , Trójkątny Hb
Triangular Va , Trójkątny Va
Triangular Vb , Trójkątny Vb
Tritanomaly , Tritanomalia
Trunk Color , Kolor tułowia
Trunk Opacity (%) , Nieprzezroczystość pnia (%)
Trunks , Kufry
Tulips , Tulipany
Tunnel , Tunel
Turbulence , Turbulencje
Turbulence 2 , Turbulencja 2
Turbulent Halftone , Turbulentny Halftone
Turn on Rotate and Twirl , Włączyć Rotate i Twirl
Two Layers , Dwie warstwy
Two Threads , Dwa nici
Type , Typ
Type Snowflake , Typ Płatek śniegu
Ultra Water , Ultra Woda
UltraWarp++++ , UltraWarp+++
Unaligned Images , Obrazy niesymetryczne
Undeniable , Bezsprzecznie
Undeniable 2 , Niezaprzeczalny 2
Underwater , Pod wodą
Unknown , Nieznany
Unpurple , Nieprecyzyjny
Unsharp Mask , Maska nieostra
Up-Left , W górę-lewo
Upper Layer Is the Top Layer for All Blends , Górna warstwa jest górną warstwą dla wszystkich mieszanek
Upper Side Orientation , Górna orientacja boczna
Uppercase Letters , Wielkie litery
Upscale [Diffusion] , Upscale [Dyfuzja]
Urban Cowboy , Kowboj Miejski
Use as Hue , Użyj jako barwy
Use as Saturation , Zastosowanie jako nasycenie
Use Individual Depth Map , Użyj indywidualnej mapy głębokości
Use Light , Użyj światła
Use Maximum Tones , Użyj Maksymalnych Tonów
Use Top Layer as a Priority Mask , Użyj górnej warstwy jako maski priorytetowej
User-Defined , Zdefiniowany przez użytkownika
User-Defined (Bottom Layer) , Zdefiniowany przez użytkownika (warstwa dolna)
Uzbek Bukhara , Uzbecka Buchara
Uzbek Marriage , Uzbeckie Małżeństwo
Uzbek Samarcande , Uzbecki Samarcande
V Cutoff , V Odcięcie
Value , Wartość
Value Action , Wartość Działania
Value Blending , Łączenie wartości
Value Bottom , Wartość Dół
Value Correction , Korekta wartości
Value Factor , Współczynnik wartości
Value Normalization , Wartość Normalizacja
Value Offset , Wartość Przesunięcie
Value Precision , Wartość Precyzja
Value Range , Zakres wartości
Value Scale , Skala wartości
Value Shift , Zmiana wartości
Value Smoothness , Wartość Gładkość
Value Top , Wartość górna
Value Variance , Zmienność wartości
Values , Wartości
Van Gogh: Irises , Van Gogh: Irysy
Van Gogh: The Starry Night , Van Gogh: Gwieździsta noc
Van Gogh: Wheat Field with Crows , Van Gogh: Pole pszenicy z wronami
Variability , Zmienność
Variation A , Wariacja A
Variation B , Zmiana B
Variation C , Zmiana C
Vector Painting , Malarstwo wektorowe (Vector Painting)
Vertex Type , Typ Vertexu
Vertical , Pionowo
Vertical (%) , Pionowe (%)
Vertical 1 Amount , Pionowe 1 Kwota
Vertical 1 Length , Pionowe 1 Długość
Vertical 2 Amount , Pionowe 2 Kwota
Vertical 2 Length , Pionowe 2 Długość
Vertical Amount , Kwota pionowa
Vertical Array , Układ pionowy
Vertical Blur , Rozmycie pionowe
Vertical Length , Długość pionowa
Vertical Size (%) , Wielkość pionowa (%)
Vertical Stripes , Paski pionowe
Vertical Tiles , Płytki pionowe
Very Course 5 , Bardzo Kurs 5
Very Fine , Bardzo dobrze
Very High , Bardzo wysoka
Very High (Even Slower) , Bardzo wysoka (nawet wolniejsza)
Very Warm Greenish , Bardzo ciepły zielonkawy
Vibrant (alien) , Vibrant (kosmita)
Vibrant (contrast) , Vibrant (kontrast)
Victory , Zwycięstwo
View Outlines Only , Widok tylko konturów
View Resolution , Rozdzielczość widoków
Vignette , Winieta
Vignette Contrast , Kontrast winiety
Vignette Max Radius , Winieta Max Promień
Vignette Min Radius , Winieta Min. Promień
Vignette Size , Rozmiar winiety
Vignette Strength , Wytrzymałość winiety
Vignette Strenth , Winieta Strenth
Vintage (brighter) , Vintage (jaśniejszy)
Vintage 163 , Stary rocznik 163
Vintage Chrome , Chrom antyczny
Vintage Warmth 1 , Ciepło zabytkowe 1
Virtual Landscape , Wirtualny Krajobraz
Visible Watermark , Widoczny znak wodny
Vivid Edges , Żywe krawędzie
Vivid Edges* , Żywe krawędzie*
Vivid Light , Żywe światło
Wall , Ściana
Warm , Ciepłe
Warm (highlight) , Ciepło (główna atrakcja)
Warm (yellow) , Ciepły (żółty)
Warm Dark Contrasty , Ciepły, ciemny kontrast
Warm Neutral , Ciepły Neutralny
Warm Sunset Red , Ciepła czerwień zachodu słońca
Warm Teal , Ciepły Teal
Warp [Interactive] , Osnowa [Interaktywny]
Warp by Intensity , Osnowa według intensywności
Water , Woda
Waterfall , Wodospad
Wave , Fala
Wave(s) , Fala(-y)
Wavelength , Długość fali
Waves Amplitude , Fale Amplituda
Waves Smoothness , Fale Gładkość
We'll See , Zobaczymy
Weave , Splot
Weird , Dziwne
Whirl Drawing , Rysunek wiru
White , Biały
White Dices , Białe kostki
White Layers , Białe warstwy
White Level , Poziom bieli
White on Black , Biały na czarnym
White on Transparent , Biały na Transparentnym
White on Transparent Black , Biały na przezroczystym czarnym
White Point , Biały punkt
White to Black , Biały do czarnego
White Walls , Białe ściany
Whiter Whites , Bielsze biali
Whites , Biali
Width , Szerokość
Width (%) , Szerokość (%)
Wind , Wiatr
Winter Lighthouse , Latarnia Zimowa
Wipe , Wytrzyj
Without , Bez
Wooden Gold 20 , Drewniane złoto 20
Work on Frameset , Prace nad ramkami
Wrap , Folia
X Center , X Centrum
X Origine , X Pochodzenie
X-Amplitude , X-Amplituda
X-Axis Then Y-Axis , X-Axis Potem Y-Axis
X-Centering , X-Centrowanie
X-Centering (%) , X-Centrowanie (%)
X-Coordinate [Manual] , Współrzędna X [Instrukcja]
X-Factor (%) , X-Faktor (%)
X-Resolution , Rozwiązanie X-Resolution
X-Rotation , Zdjęcie rentgenowskie
X-Size , Rozmiar X:
X-Size (px) , Rozmiar X (px)
X-Smoothness , X-płynność
X1 (none) , X1 (brak)
XY Mirror , Lustro XY
XY-Amplitude , Amplituda XY
XY-Coordinates (%) , Współrzędne XY (%)
Y Center , Centrum Y
Y Origine , Y Pochodzenie
Y-Amplitude , Y-Amplituda
Y-Axis Then X-Axis , Y-Axis Potem X-Axis
Y-Center , Y-Centrum
Y-Centering , Y-Centrowanie
Y-Centering (%) , Y-Centryczny (%)
Y-Coordinate [Manual] , Współrzędna Y [Instrukcja]
Y-Dispersion , Y-Dyfuzja
Y-Factor (%) , Y-Faktor (%)
Y-Multiplier , Y-Multiplikator
Y-Resolution , Y-Rezolucja
Y-Rotation , Y-Rotacja
Y-Scale , Skala Y:
Y-Size , Rozmiar Y
Y-Size (px) , Rozmiar Y (px)
Y-Tiles , Panele Y
Y-Variations , Y-Wariacje
YAG Effect , Efekt YAG
YCbCr (Chroma Only) , YCbCr (tylko chrom)
YCbCr (Luma Only) , YCbCr (tylko Luma)
YCbCr (Mixed) , YCbCr (Mieszane)
YCbCr [Blue-Red Chrominances] , YCbCr [niebiesko-czerwone chrominanse]
YCbCr [Green Chrominance] , YCbCr [Zielony Chrominance]
YCbCr [Luminance] , YCbCr [Luminancja]
Yellow , Żółty
Yellow 55B , Żółty 55B
Yellow Factor , Czynnik żółty
Yellow Film 01 , Film żółty 01
Yellow Smoothness , Żółta Gładkość
YES8 , TAK8
Z-Multiplier , Z-Multiplikator
Z-Rotation , Z-Rotacja
Z-Scale , Z-Skala
Z-Size , Rozmiar Z
ZilverFX - B&W Solarization , ZilverFX - B&W Solaryzacja
Zone System , System strefowy
Zoom Center , Centrum Zoom
Zoom Factor , Współczynnik powiększenia
Zoom Out , Powiększenie
