<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
Preview Reference Circle , プレビュー参照サークル
Preview Selection , プレビューセレクション
Preview Shape , プレビュー形状
Preview Shows , プレビューショー
Preview Split , プレビュー分割
Preview Subsampling , サブサンプリングのプレビュー
Preview Time , プレビュータイム
Preview Tones Map , トーンマップのプレビュー
Preview Type , プレビュータイプ
Preview Without Alpha , アルファなしのプレビュー
Prewitt-X , プリウィットエックス
Prewitt-Y , プリウィットワイ
Primary Angle , 主角度
Primary Color , 原色
Primary Factor , 第一の要因
Primary Gamma , 一次ガンマ
Primary Radius , 一次半径
Primary Shift , プライマリーシフト
Primary Twist , プライマリーツイスト
Print Adjustment Marks , 印刷調整マーク
Print Films (12) , プリントフィルム (12)
Print Frame Numbers , フレーム番号を印刷する
Print Size Unit , 印刷サイズ単位
Print Size Width , 印刷サイズ幅
Privacy Notice , 個人情報の取り扱いについて
Pro Neg Hi , プロネグハイ
Pro Neg Std , プロ・ネグ標準
Probability Map , 確率マップ
Procedural , 手続き
Process As , プロセス
Process by Blocs of Size , サイズブロックによる処理
Process Channels Individually , チャンネルを個別に処理
Process Top Layer Only , プロセストップ層のみ
Process Transparency , プロセスの透明性
Processing Mode , 処理モード
Progressen , プログレッシェン
Propagation , 伝播
Proportion , 比例
Protanomaly , プロトノマリー
Protanopia , プロタノピア
Protect Highlights 01 , ハイライト01を保護する
Provia , プロビア
Prussian Blue , プルシアンブルー
Pseudo-Gray Dithering , 疑似グレーディザリング
Purple , 紫色
Purple11 (12) , 紫11 (12)
Puzzle , パズル
Pyramid , ピラミッド
Pyramid Processing , ピラミッド処理
Pythagoras Tree , ピタゴラスの木
Quadrangle , 四角形
Quadratic , 二次
Quadtree Variations , クワッドツリーのバリエーション
Quality , 品質
Quality (%) , 品質(%)
Quantization , 量子化
Quantize Colors , 色の量子化
Quasi-Gaussian , 準ガウス
Quick , クイック
Quick Copyright , クイック著作権
Quick Enlarge , クイック拡大
R/B Smoothness (Principal) , R/B 滑らかさ（プリンシパル
R/B Smoothness (Secondary) , R/B 滑らかさ(二次)
Radial , 放射状
Radius , 半径
Radius (%) , 半径(%)
Radius / Angle , 半径/角度
Radius [Manual] , 半径 [マニュアル]
Radius Cut , ラジアスカット
Radius Middle Circle , 半径中円
Radius Outer Circle A (>0 W%) (<0 H%) , 半径外円A (>0 W%) (<0 H%)
Rain & Snow , 雨と雪
Rainbow , レインボー
Raindrops , 雨粒
Random , ランダム
Random [non-Transparent] , ランダム[非透過]
Random Angle , ランダム角度
Random Color Ellipses , ランダムカラー楕円
Random Colors , ランダムカラー
Random Seed , ランダムシード
Random Shade Stripes , ランダムシェードストライプ
Randomize , ランダム化
Randomized , ランダム化
Randomness , ランダム性
Range , 範囲
Ratio , 比率
Raw , 生
Rays , レイズ
Rays Colors AB , レイズカラーズAB
Rays Colors ABC , レイズカラーズABC
Rays Colors ABCD , レイズカラーズABCD
Rays Colors ABCDE , レイズカラーズABCDE
Rays Colors ABCDEF , レイズカラーズ ABCDEF
Rays Colors ABCDEFG , レイズカラーズ ABCDEFG
Rcx , ＲＣＸ
Rebuild From Similar Blocs , 類似ブロックからの再構築
Recompose , 再構成
Reconstruct From Previous Frames , 以前のフレームからの再構築
Recover , リカバリー
Recover Highlights , ハイライトを回復
Recover Shadows , 影を回復する
Recovery , リカバリー
Rectangle , 長方形
Recursion Depth , 再帰の深さ
Recursions , 再帰
Recursive Median , 再帰的中央値
Red , 赤
Red - Green - Blue , 赤-緑-青
Red - Green - Blue - Alpha , 赤・緑・青・アルファ
Red Afternoon 01 , レッドアフタヌーン01
Red Blue Yellow , 赤 青 黄
Red Chroma Factor , レッドクロマファクター
Red Chroma Shift , レッドクロマシフト
Red Chroma Smoothness , レッドクロマスムースネス
Red Chrominance , 赤色度
Red Day 01 , レッドデー01
Red Dream 01 , 赤い夢01
Red Factor , レッドファクター
Red Level , レッドレベル
Red Rotations , レッドローテーション
Red Shift , レッドシフト
Red Smoothness , 赤色の滑らかさ
Red Wavelength , 赤色波長
Red-Eye Attenuation , 赤目の減衰
Red-Green , 赤緑
Reds , レッズ
Reds Oranges Yellows , 赤 オレンジ イエロー
Reduce Halos , ハローズを減らす
Reduce Noise , ノイズの低減
Reduce RAM , RAMの削減
Reduce Redness , 赤みを抑える
Reeve 38 , リーブ38
Reference , 参考
Reference Angle (deg.) , 基準角度（deg.
Reference Color , 参照色
Reference Colors , 参照色
Reflect , 反映させる
Reflection , リフレクション
Refraction , 屈折
Regular Grid , 通常のグリッド
Regularity , 規則性
Regularity (%) , 規則性(%)
Regularization , 正規化
Regularization (%) , 正則化 (%)
Regularization Factor , 正則化係数
Regularization Iterations , 正則化の反復
Reject , 拒否
Rejected Colors , 不合格の色
Rejected Mask , 拒否されたマスク
Relative Block Count , 相対ブロック数
Relative Size , 相対的なサイズ
Relative Warping , 相対的なゆがみ
Release Notes , リリースノート
Relief , 救済
Relief Amplitude , リリーフ振幅
Relief Contrast , レリーフコントラスト
Relief Light , リリーフライト
Relief Size , レリーフサイズ
Relief Smoothness , リリーフの滑らかさ
Remix , リミックス
Remove Artifacts From Micro/Macro Detail , マイクロ/マクロの詳細からアーティファクトを除去する
Remove Hot Pixels , ホットピクセルを削除
Remove Tile , タイルの取り外し
Remy 24 , レミー24
Render Multiple Frames , 複数のフレームをレンダリング
Render on Dark Areas , 暗い部分にレンダリング
Render on White Areas , 白い部分にレンダリング
Render Routine for Wiggle Animations , くねくねアニメーションのレンダリングルーチン
Rendering , レンダリング
Rendering Mode , レンダリングモード
Rendu , レンドゥ
Repair Scanned Document , スキャンした文書の修復
Repeat , リピート
Repeat [Memory Consuming!] , メモリ消費！】を繰り返す
Repeats , 繰り返し
Replace , 置き換え
Replace (Sharpest) , 交換（シャープ
Replace Layer with CLUT , レイヤをCLUTに置き換える
Replace Source by Target , ソースをターゲットに置き換える
Replace With White , 白に置き換える
Replaced Color , 色を取り替えられた
Replacement Color , 交換色
Reptile , 爬虫類
Rescaling , 再スケーリング
Reset View , ビューのリセット
Resize Image for Optimum Effect , 最適な効果を得るために画像のサイズを変更する
Resolution , 決議
Resolution (%) , 分解能(%)
Resolution (px) , 解像度(px)
Rest 33 , 残り33
Result Image , 結果画像
Result Type , 結果の種類
Resynthetize Texture [FFT] , テクスチャの再合成 [FFT]
Resynthetize Texture [Patch-Based] , テクスチャの再合成 [パッチベース]
Retinex , レチネックス
Retouch Layer , レタッチレイヤー
Retouched and Sharpened Areas , レタッチされた部分とシャープになった部分
Retouched Areas Only , レタッチされた部分のみ
Retouched Image , レタッチされた画像
Retouched Image Basic , レタッチ画像の基本
Retouched Image Final , レタッチされた画像の最終
Retouching Style , レタッチスタイル
Retro , レトロ
Retro Brown 01 , レトロブラウン01
Retro Fade , レトロフェード
Retro Magenta 01 , レトロなマゼンタ01
Retro Summer 3 , レトロな夏3
Retro Yellow 01 , レトロイエロー01
Return Scaling , リターンスケーリング
Reverse Bits , リバースビット
Reverse Bytes , 逆バイト
Reverse Effect , 逆効果
Reverse Endianness , 逆エンディアン
Reverse Flip , 逆フリップ
Reverse Frame Stack , リバースフレームスタック
Reverse Gradient , 逆グラデーション
Reverse Mod , リバースモッド
Reverse Motion , リバースモーション
Reverse Order , 逆順
Reverse Pow , リバースパウ
Reversing , 反転
Revert Layer Order , レイヤ順序の反転
Revert Layers , レイヤーの反転
RGB , ＲＧＢ
RGB [All] , RGB [すべて]
RGB [Blue] , RGB [青]
RGB [Green] , RGB [緑]
RGB [red] , RGB [赤]
RGB Image + Binary Mask (2 Layers) , RGB画像 + バイナリマスク（2層
RGB Quantization , RGB量子化
RGB Tone , ＲＧＢトーン
RGB8 , ＲＧＢ８
RGBA , ＲＧＢＡ
RGBA [All] , RGBA [すべて]
RGBA [Alpha] , RGBA [アルファ]
RGBA Foreground + Background (2 Layers) , RGBA前景＋背景（2レイヤー
RGBA Image (Full-Transparency / 1 Layer) , RGBA画像(全透明/1層)
RGBA Image (Updatable / 1 Layer) , RGBAイメージ（更新可能/1レイヤー
Rice , 米
Right , 吁
Right Diagonal  Foreground , 右斜め前景
Right Diagonal Foreground , 右斜め前景
Right Eye View , 右目のビュー
Right Foreground , 右前景
Right Position , 右の位置
Right Side Orientation , 右側の向き
Right Slope , 右斜面
Right Stream Only , 右ストリームのみ
Rigid , 硬質
Ripple , リップル
Robert Cross 1 , ロバート・クロス 1
Robert Cross 2 , ロバート・クロス2
RocketStock (35) , ロケットストック (35)
Roddy , ロディ
Roddy (by Mahvin) , ロディ（byマーヴィン
Rodilius , ロディリウス
Rodilius [Animated] , ロディリアス【アニメ化
Rollei IR 400 , ロレイ IR 400
Rollei Ortho 25 , ロレイオルソ25
Rollei Retro 100 Tonal , ロレイ レトロ100トーン
Rollei Retro 80s , ロレイ レトロ80年代
Rooster , ルースター
Rorschach , ロールシャッハ
Rose , 薔薇
Rotate , 回転
Rotate (muted) , 回転（ミュート
Rotate (vibrant) , 回転させる（鮮やかに
Rotate 180 Deg. , 180度回転させます。
Rotate 270 Deg. , 270度回転させます。
Rotate 90 Deg. , 90度回転させます。
Rotate Hue Bands , 色相バンドの回転
Rotate Tree , ツリーを回転させる
Rotated , 回転
Rotated (crush) , 回転させる（つぶす
Rotations , 回転数
Rotinv-X , ロチンブエックス
Rotinv-Y , ロティンヴイ
Round , 丸い
Roundness , 丸みを帯びた
Row by Row , 一列一列
Rubik , ルービック
Runge-Kutta , ランゲクッタ
RYB , ＲＹＢ
RYB [All] , RYB [全]
RYB [Blue] , ＲＹＢ【青
RYB [Red] , ＲＹＢ【赤
RYB [Yellow] , ＲＹＢ【黄色
RYB8 , ＲＹＢ８
S-Curve Contrast , S字カーブコントラスト
Salt and Pepper , 塩コショウ
Same as Input , 入力と同じ
Same Axis , 同じ軸
Sample Image , サンプル画像
Sampling , サンプリング
Sat Bottom , 土底
Sat Range , サットレンジ
Sat Top , サットトップ
Satin , サテン
Saturated Blue , 飽和ブルー
Saturation , 飽和度
Saturation (%) , 飽和度
Saturation Channel Gamma , 飽和チャンネルガンマ
Saturation Correction , 彩度補正
Saturation EQ , サチュレーションEQ
Saturation Factor , 飽和度係数
Saturation Offset , 彩度オフセット
Saturation Shift , サチュレーションシフト
Saturation Smoothness , 彩度の滑らかさ
Save CLUT as .Cube or .Png File , CLUTを.Cubeまたは.Pngファイルとして保存する
Save Gradient As , グラデーションを名前を付けて保存
Saving Private Damon , デイモン一等兵を救う
Scalar , スカラー
Scale , スケール
Scale (%) , スケール(%)
Scale 1 , スケール1
Scale 2 , スケール2
Scale CMYK , スケールCMYK
Scale Factor , スケールファクター
Scale Output , スケール出力
Scale Plasma , スケールプラズマ
Scale RGB , スケールRGB
Scale Style to Fit Target Resolution , ターゲットの解像度に合わせてスタイルを拡大縮小
Scale Variations , スケールバリエーション
Scaled , スケーリングされた
Scales , スケール
Scaling Factor , スケーリングファクター
Scanlines , スキャンライン
Scene Selector , シーンセレクタ
Science Fiction , SF
Scr , スクラッチ
Screen , スクリーン
Screen Border , 画面の境界線
Seamcarve , シームカーヴ
Seamless Deco , シームレスデコ
Seamless Turbulence , シームレスな乱流
Secant , セカント
Second Color , セカンドカラー
Second Offset , 第2オフセット
Second Radius , 第二半径
Second Size , セカンドサイズ
Secondary Color , 二次色
Secondary Factor , 第二の要因
Secondary Gamma , 二次ガンマ
Secondary Radius , 二次半径
Secondary Shift , セカンダリーシフト
Secondary Twist , セカンダリーツイスト
Sectors , セクター
Seed , 種子
Segment Max Length (px) , セグメント最大長 (px)
Segmentation , セグメンテーション
Segmentation Edge Threshold , セグメンテーションエッジしきい値
Segmentation Smoothness , セグメンテーションの滑らかさ
Segments , セグメント
Segments Strength , セグメントの強さ
Select By , で選択してください
Select-Replace Color , 色の選択と置換
Selected Color , 選択された色
Selected Colors , 厳選された色
Selected Frame , 選択されたフレーム
Selected Mask , 選択されたマスク
Selection , 選択
Selective Desaturation , 選択的脱飽和
Selective Gaussian , 選択的ガウス
Self , 自己紹介
Self Glitching , 自己のグリッチ
Self Image , セルフイメージ
Sensitivity , 感度
Sepia , セピア
Sequence X4 , シーケンスX4
Sequence X6 , シーケンスX6
Sequence X8 , シーケンスX8
Serenity , セレニティ
Serial Number , シリアル番号
Seringe 4 , セーリンゲ4
Serpent , サーペント
Set Aspect Only , セットアスペクトのみ
Set Frame Format , フレームフォーマットの設定
Seven Layers , 七層
Seventies Magazine , セブンティーズマガジン
Shade , シェード
Shade Angle , シェード角度
Shade Back to First Color , シェードバックからファーストカラーへ
Shade Bobs , シェードボブ
Shade Strength , 陰の強さ
Shadebobs , シェードボブス
Shading , シェーディング
Shading (%) , 濃淡 (%)
Shadow , 影
Shadow Contrast , 影のコントラスト
Shadow Intensity , 影の強度
Shadow King 39 , シャドウキング39
Shadow Offset X , シャドウオフセットX
Shadow Offset Y , 影オフセット Y
Shadow Patch , シャドーパッチ
Shadow Size , 影のサイズ
Shadow Smoothness , 影の滑らかさ
Shadows , シャドウズ
Shadows Abstraction , 影の抽象化
Shadows Brightness , 影の明るさ
Shadows Color Intensity , 影の色の強度
Shadows Hue Shift , 影の色相シフト
Shadows Lightness , 影の明るさ
Shadows Selection , 影の選択
Shadows Threshold , 影のしきい値
Shadows Zone , シャドウズゾーン
Shamoon Abbasi (25) , シャムーン・アッバース（25
Shape , 形状
Shape Area Max , 形状面積最大
Shape Area Max0 , 形状面積Max0
Shape Area Min , 形状面積 最小
Shape Area Min0 , 形状面積 Min0
Shape Average , 形状平均
Shape Average0 , 形状平均0
Shape Max , 形状マックス
Shape Max0 , 形状Max0
Shape Median , 形状中央値
Shape Median0 , 形状中央値0
Shape Min , 形状
Shape Min0 , 形状 Min0
Shapeaverage , 形状平均
Shapeism , シェイプイズム
Shapes , 形状
Sharp Abstract , シャープアブストラクト
Sharpen , シャープ
Sharpen [Deblur] , シャープ【デブラー
Sharpen [Gold-Meinel] , シャープ【ゴールド・マイネル
Sharpen [Gradient] , シャープ[グラデーション]
Sharpen [Hessian] , シャープ【ヘッセン
Sharpen [Inverse Diffusion] , シャープ【逆拡散
Sharpen [Multiscale] , シャープ[マルチスケール]
Sharpen [Octave Sharpening] , シャープ［オクターブシャープニング
Sharpen [Richardson-Lucy] , シャープ【リチャードソン＝ルーシー
Sharpen [Shock Filters] , シャープ [ショックフィルター]
Sharpen [Texture] , シャープ [テクスチャ]
Sharpen [Tones] , シャープ [トーン]
Sharpen [Unsharp Mask] , シャープ【アンシャープマスク
Sharpen [Whiten] , シャープ【白くする
Sharpen Details in Preview , プレビューで詳細をシャープにする
Sharpen Edges Only , エッジのみをシャープにする
Sharpen Object , オブジェクトをシャープにする
Sharpen Radius , 半径をシャープにする
Sharpen Shades , シャープシェード
Sharpened Areas Only , 研ぎ澄まされた部分のみ
Sharpening , シャープ
Sharpening Layer , レイヤのシャープ化
Sharpening Radius , シャープ半径
Sharpening Strength , 研ぎの強さ
Sharpening Type , シャープタイプ
Sharpest , 鋭い
Sharpness , シャープネス
Shift Linear Interpolation? , シフト線形補間？
Shift Point , シフトポイント
Shift X , シフトX
Shift Y , シフトY
Shine , 輝き
Shininess , 輝き
Shivers , 戦慄
Shock Waves , 衝撃波
Shopping Cart , ショッピングカート
Show Both Poles , 両極を表示
Show Difference , 違いを表示する
Show Frame , フレームを表示
Show Grid , グリッドを表示
Show Watershed , 流域を表示
Shrink , シュリンク
Shuffle Pieces , シャッフルピース
Side by Side , サイド・バイ・サイド
Sierpinksi Design , シエルピンクシデザイン
Sierpinski Triangle , シエルピンスキートライアングル
Sigma , シグマ
Sigma 1 , シグマ1
Sigma 2 , シグマ2
Silver , シルバー
Similarity Space , 類似空間
Simple Local Contrast , シンプルなローカルコントラスト
Simple Noise Canvas , シンプルノイズキャンバス
Simulate Film , フィルムのシミュレーション
Sin(z) , シン(z)
Sine , 正弦
Sine+ , 正弦+
Single (Merged) , シングル(合併)
Single Custom Depth Map , シングルカスタムデプスマップ
Single Image Stereogram , シングルイメージステレオグラム
Single Layer , 単層
Single Opaque Shapes Over Transp. BG , Transp.の上に単一の不透明な形状。BG
Six Layers , 6つのレイヤー
Sixteen Threads , 十六本の糸
Size , サイズ
Size (%) , サイズ(%)
Size for Bright Tones , ブライトトーン用サイズ
Size for Dark Tones , ダークトーン用サイズ
Size of Frame Numbers (%) , フレーム数の大きさ(%)
Size Variance , サイズバリエーション
Size-1 , サイズ-1
Size-2 , サイズ2
Size-3 , サイズ-3
Skeletik , スケルティック
Skeleton , 骨格
Sketch , スケッチ
Skin Estimation , 肌の見積もり
Skin Mask , スキンマスク
Skin Tone Colors , スキントーンカラー
Skin Tone Mask , スキントーンマスク
Skin Tone Protection , 肌色の保護
Skip All Other Steps , 他のすべてのステップをスキップする
Skip Finest Scales , 最高級のスケールをスキップ
Skip Others Steps , 他のステップをスキップする
Skip This Step , このステップをスキップ
Skip to Use the Mask to Boost , スキップしてブーストするためのマスクを使用して
Slice Luminosity , スライス光量
Slide [Color] (26) , スライド [カラー] (26)
Slow &#40;Accurate&#41; , 遅い (正確な&#41.
Slow Recovery , 遅い回復
Small , 小
Small (Faster) , 小さい（速い
SmallHD Movie Look (7) , SmallHDムービールック (7)
Smart , スマート
Smart Contrast , スマートコントラスト
Smart Threshold , スマートしきい値
Smokey , スモーキー
Smooth , スムーズ
Smooth [Anisotropic] , 滑らかな[異方性]
Smooth [Antialias] , スムーズ【アンチアリアス
Smooth [Bilateral] , スムース[二股]
Smooth [Block PCA] , スムーズ[ブロックPCA]
Smooth [Diffusion] , スムーズ【拡散
Smooth [Geometric-Median] , スムース[ジオメトリック・メディアン]
Smooth [Guided] , スムーズ【ガイド付き
Smooth [IUWT] , スムース[IUWT]
Smooth [Mean-Curvature] , スムーズ[平均曲率]
Smooth [Median] , スムーズ[中央値]
Smooth [NL-Means] , スムーズ[NL-Means]
Smooth [Patch-Based] , スムーズな【パッチベース
Smooth [Patch-PCA] , スムース[パッチ-PCA]
Smooth [Perona-Malik] , スムーズ【ペローナ＝マリック
Smooth [Selective Gaussian] , スムーズ[選択的ガウス]
Smooth [Skin] , なめらかな【肌
Smooth [Thin Brush] , スムース【細筆
Smooth [Total Variation] , スムーズ【総バラツキ
Smooth [Wavelets] , スムーズ [ウェーブレット]
Smooth [Wiener] , スムース[ウィンナー]
Smooth Abstract , 滑らかなアブストラクト
Smooth Amount , スムーズ量
Smooth Clear , スムーズクリア
Smooth Colors , 滑らかな色
Smooth Crome-Ish , スムースクローム・アイシュ
Smooth Dark , スムースダーク
Smooth Fade , スムースフェード
Smooth Green Orange , スムースグリーンオレンジ
Smooth Light , スムーズライト
Smooth Looping , 滑らかなループ
Smooth Only , スムーズのみ
Smooth Sailing , スムーズセーリング
Smooth Teal Orange , スムースティールオレンジ
Smoothen Background Reconstruction , 背景の再構築をスムーズにする
Smoother Edge Protection , スムーズなエッジ保護
Smoother Sharpness , より滑らかなシャープネス
Smoother Softness , より滑らかな柔らかさ
Smoothing , スムージング
Smoothing Style , スムーズなスタイル
Smoothing Type , スムージングタイプ
Smoothness , 滑らかさ
Smoothness (%) , 滑らかさ(%)
Smoothness (px) , 滑らかさ (px)
Smoothness Shadow , スムーズネスシャドウ
Smoothness Type , 滑らかさのタイプ
Snowflake , スノーフレーク
Snowflake 2 , スノーフレーク2
Snowflake Recursion , 雪の結晶の再帰
Sobel-X , ソベルエックス
Sobel-Y , ソベルワイ
Soft , 柔らかい
Soft  Light , ソフトライト
Soft Burn , ソフトバーン
Soft Dodge , ソフトダッジ
Soft Fade , ソフトフェード
Soft Glow , ソフトグロー
Soft Glow [Animated] , ソフトグロー[アニメ化]
Soft Light , ソフトライト
Soft Random Shades , ソフトランダムシェード
Soft Warming , 柔らかな暖かさ
Softburn , ソフトバーン
Softdodge , ソフトドッジ
Soften , 柔らかくする
Soften All Channels , すべてのチャンネルを柔らかくする
Soften Guide , ソフトガイド
Softlight , ソフトライト
Solarize , ソラライズ
Solarize Color , ソラライズカラー
Solarized Color2 , ソラライズドカラー2
Solidify , 凝固
Solve Maze , 迷路を解く
Some , いくつかの
Some Blue , いくつかのブルー
Some Cyan , いくつかのシアン
Some Green , いくつかのグリーン
Some Key , いくつかのキー
Some Magenta , いくつかのマゼンタ
Some Red , いくつかの赤
Some Yellow , いくつかの黄色
Sort Colors , 色を並べ替える
Sorting Criterion , 並び替え基準
Source (%) , 出所(%)
Source Color #1 , ソースカラー#1
Source Color #10 , ソースカラー#10
Source Color #11 , ソースカラー #11
Source Color #12 , ソースカラー#12
Source Color #13 , ソースカラー#13
Source Color #14 , ソースカラー#14
Source Color #15 , ソースカラー#15
Source Color #16 , ソースカラー#16
Source Color #17 , ソースカラー#17
Source Color #18 , ソースカラー#18
Source Color #19 , ソースカラー#19
Source Color #2 , ソースカラー #2
Source Color #20 , ソースカラー#20
Source Color #21 , ソースカラー#21
Source Color #22 , ソースカラー#22
Source Color #23 , ソースカラー#23
Source Color #24 , ソースカラー#24
Source Color #3 , ソースカラー#3
Source Color #4 , ソースカラー#4
Source Color #5 , ソースカラー#5
Source Color #6 , ソースカラー#6
Source Color #7 , ソースカラー#7
Source Color #8 , ソースカラー#8
Source Color #9 , ソースカラー#9
Source X-Tiles , ソースXタイル
Source Y-Tiles , ソースYタイル
Space , スペース
Spacing , 間隔
Span , スパン
Spatial Bandwidth , 空間帯域幅
Spatial Metric , 空間メトリック
Spatial Overlap , 空間的なオーバーラップ
Spatial Precision , 空間精度
Spatial Radius , 空間半径
Spatial Regularization , 空間正規化
Spatial Sampling , 空間サンプリング
Spatial Scale , 空間スケール
Spatial Tolerance , 空間公差
Spatial Transition , 空間遷移
Spatial Variance , 空間分散
Special Effects , 特殊効果
Specific Saturation , 比飽和度
Specify Different Output Size , 異なる出力サイズを指定
Specify HaldCLUT As , HaldCLUTを次のように指定します。
Specular , スペキュラ
Specular (%) , 鏡面 (%)
Specular Centering , スペキュラーセンタリング
Specular Intensity , 鏡面強度
Specular Light , スペキュラーライト
Specular Lightness , スペキュラの明るさ
Specular Shininess , スペキュラーシャイニー
Specular Size , 鏡面サイズ
Speed , スピード
Sphere , スフィア
Spherize , 球形化
Spiral , スパイラル
Spiral RGB , スパイラルRGB
Spline B1 , スプラインB1
Spline B2 , スプラインB2
Spline B3 , スプラインB3
Spline B4 , スプラインB4
Spline B5 , スプラインB5
Spline B6 , スプラインB6
Spline Editor , スプラインエディタ
Spline Max Angle (deg) , スプライン最大角度(deg)
Spline Max Length (px) , スプラインの最大長さ (px)
Spline Roundness , スプライン真円度
Splines , スプライン
Split Base and Detail Output , ベースと詳細出力の分割
Split Brightness / Colors , 割れた明るさ/色
Split Details [Alpha] , 分割詳細【アルファ
Split Details [Gaussian] , スプリットの詳細 [ガウス]
Split Details [Wavelets] , スプリットの詳細 [ウェーブレット]
Sponge , スポンジ
Spotify , スポティファイ
Spread , スプレッド
Spread Amount , スプレッド量
Spread Angles , スプレッドアングル
Spread Noise Amount , 拡散ノイズ量
Spreading , 拡散
Spring Morning , 春の朝
Sprocket 231 , スプロケット 231
Spy 29 , スパイ29
Square , スクエア
Square (Inv.) , スクエア（Inv.
Square 1 , スクエア1
Square 2 , スクエア2
Square to Circle , 正方形から円へ
Squared-Euclidean , 二乗ユークリッド
Squares , 正方形
Squares (Outline) , 正方形（アウトライン
SRGB , エスアールジービービー
SRGB Conversion , SRGB変換
Stabilizer , スタビライザー
Stained Glass , ステンドグラス
Stamp , スタンプ
Standard , 標準
Standard (256) , 標準 (256)
Standard [No Scan] , スタンダード [スキャンなし]
Standard Deviation , 標準偏差
Star , 星
Star: -5*(z^3/3-Z/4)/2 , スターです。-5*(z^3/3-z/4)/2
Stardust , スターダスト
Stars , 星
Stars (Outline) , 星（概要
Start Angle , 開始角度
Start Color , スタートカラー
Start Frame Number , 開始フレーム番号
Start of Mid-Tones , ミッドトーン開始
Starting Angle , 開始角度
Starting Color , 開始色
Starting Feathering , フェザーリングの開始
Starting Frame , スタートフレーム
Starting Level , 開始レベル
Starting Pattern , 開始パターン
Starting Point , 出発点
Starting Point (%) , 開始点(%)
Starting Scale (%) , 開始スケール(%)
Starting Value , 開始値
Stationary Frames , 据え置き型フレーム
Std Angle (deg.) , 標準角度(deg.)
Std Branching , 標準分岐
Std Length Factor (%) , 標準長さ係数(%)
Std Thickness Factor (%) , 標準厚さ係数(%)
Stencil , ステンシル
Stencil Type , ステンシルタイプ
Step , ステップ
Step (%) , ステップ(%)
Steps , ステップ
Stereo Image , ステレオ画像
Stereo Window Position , ステレオウィンドウの位置
Stereographic Projection , 立体投影
Stereoscopic Image Alignment , 立体画像アライメント
Stereoscopic Window Position , 立体視窓の位置
Straight , ストレート
Strands , ストランド
Streak , ストリーク
Street , 通り
Strength , 強さ
Strength (%) , 強度(%)
Strength Effect , 強度効果
Strength Highlights , 強さのハイライト
Strength Midtones , ストレングス ミッドトーン
Strength Shadows , ストレングスシャドウズ
Stretch , ストレッチ
Stretch Colors , ストレッチカラー
Stretch Contrast , ストレッチ コントラスト
Stretch Factor , ストレッチファクター
Strip , ストリップ
Stripe Orientation , ストライプの向き
Stroke , ストローク
Stroke Angle , ストローク角度
Stroke Length , ストローク長
Stroke Strength , ストローク強度
Strong , 強い
Structure Smoothness , 構造の平滑性
Studio , スタジオ
Studio Skin Tone Shaper , スタジオスキントーンシェイパー
Style , スタイル
Style Variations , スタイルバリエーション
Stylize , スタイライズ
Subdivisions , 分科会
Subpixel Interpolation , サブピクセル補間
Subpixel Level , サブピクセルレベル
Subsampling (%) , サブサンプリング(%)
Subtle Blue , 微妙なブルー
Subtle Green , 微妙なグリーン
Subtle Yellow , 微妙な黄色
Subtract , 減算
Subtractive , 減算的
Summer , 夏
Summer (alt) , 夏 (alt)
Sunny , サニー
Sunny (alt) , サニー
Sunny (rich) , サニー（金持ち
Sunny (warm) , 晴れ（暖かい
Super Warm , スーパーウォーム
Super Warm (rich) , スーパーウォーム（リッチ
Super-Pixels , スーパーピクセル
Superformula , スーパーフォーミュラー
Superimpose with Original? , オリジナルとスーパーインポーズ？
Surface Disturbance , 表面撹乱
Surface Disturbance Multiplier , 表面擾乱乗数
Sutro FX , スートロFX
Swan , 白鳥
Swap , スワップ
Swap Colors , スワップカラー
Swap Layers , レイヤーを入れ替える
Swap Radius / Angle , 半径/角度を交換
Swap Sides , スワップサイド
Sweet Bubblegum , スウィートバブルガム
Sweet Gelatto , 甘いジェラート
Symmetric 2D Shape , 対称2次元形状
Symmetrize , 対称化
Symmetry , 対称性
Symmetry Sides , シンメトリーサイド
Synthesis Scale , 合成スケール
Taiga , たいが
Tan(z) , タン(z)
Tangent Radius , 接線半径
Taquin , タキン
Target Color #1 , ターゲットカラー#1
Target Color #10 , ターゲットカラー#10
Target Color #11 , ターゲットカラー #11
Target Color #12 , ターゲットカラー#12
Target Color #13 , ターゲットカラー#13
Target Color #14 , ターゲットカラー#14
Target Color #15 , ターゲットカラー#15
Target Color #16 , ターゲットカラー#16
Target Color #17 , ターゲットカラー#17
Target Color #18 , ターゲットカラー#18
Target Color #19 , ターゲットカラー#19
Target Color #2 , ターゲットカラー #2
Target Color #20 , ターゲットカラー#20
Target Color #21 , ターゲットカラー#21
Target Color #22 , ターゲットカラー #22
Target Color #23 , ターゲットカラー #23
Target Color #24 , ターゲットカラー#24
Target Color #3 , ターゲットカラー#3
Target Color #4 , ターゲットカラー#4
Target Color #5 , ターゲットカラー#5
Target Color #6 , ターゲットカラー#6
Target Color #7 , ターゲットカラー#7
Target Color #8 , ターゲットカラー#8
Target Color #9 , ターゲットカラー#9
Tarraco , タラコ
Teal Fade , ティールフェード
Teal Magenta Gold , ティール マゼンタ ゴールド
Teal Moonlight , ティールムーンライト
Teal Orange , ティールオレンジ
Teal Orange 1 , ティールオレンジ1
