<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
Spatial Sampling , Amostragem espacial
Spatial Scale , Escala espacial
Spatial Tolerance , Tolerância Espacial
Spatial Transition , Transição Espacial
Spatial Variance , Variância Espacial
Special Effects , Efeitos especiais
Specific Saturation , Saturação específica
Specify Different Output Size , Especificar tamanho de saída diferente
Specify HaldCLUT As , Especificar HaldCLUT como
Specular , Especular
Specular (%) , Especular (%)
Specular Centering , Centralização Especular
Specular Intensity , Intensidade especular
Specular Light , Luz Especular
Specular Lightness , Ligeireza especular
Specular Shininess , Brilho Especular
Specular Size , Tamanho especular
Speed , Velocidade
Sphere , Esfera
Spherize , Esferizar
Spiral , Espiral
Spiral RGB , Espiral RGB
Spline B1 , Estribo B1
Spline Editor , Editor Spline
Spline Max Angle (deg) , Ângulo Spline Max (deg)
Spline Roundness , Arredondamento da linha de estrias
Splines , Estrias
Split Base and Detail Output , Base Dividida e Saída Detalhada
Split Brightness / Colors , Brilho Dividido / Cores
Split Details [Alpha] , Detalhes da divisão [Alpha]
Split Details [Gaussian] , Detalhes da divisão [Gaussiano]
Split Details [Wavelets] , Detalhes da divisão [Wavelets]
Sponge , Esponja
Spread , Espalhar
Spread Amount , Montante de difusão
Spread Angles , Ângulos de propagação
Spread Noise Amount , Valor do Ruído de Espalhamento
Spreading , Divulgação
Spring Morning , Manhã de Primavera
Sprocket 231 , Roda dentada 231
Spy 29 , Espião 29
Square , Praça
Square (Inv.) , Quadrado (Inv.)
Square 1 , Quadrado 1
Square 2 , Quadrado 2
Square to Circle , Quadrado a Círculo
Squares , Praças
Squares (Outline) , Esquadros (Esboço)
SRGB Conversion , Conversão de SRGB
Stabilizer , Estabilizador
Stained Glass , Vidro Manchado
Stamp , Carimbo
Standard , Norma
Standard (256) , Padrão (256)
Standard [No Scan] , Padrão [Sem Scan]
Standard Deviation , Desvio padrão
Star , Estrela
Star: -5*(z^3/3-Z/4)/2 , Estrela: -5*(z^3/3-Z/4)/2
Stars , Estrelas
Stars (Outline) , Estrelas (Esboço)
Start Angle , Ângulo de início
Start Color , Iniciar Cor
Start Frame Number , Número da moldura inicial
Start of Mid-Tones , Início dos meios-tons
Starting Angle , Ângulo inicial
Starting Color , Cor inicial
Starting Feathering , Iniciação à plumagem
Starting Frame , Moldura inicial
Starting Level , Nível inicial
Starting Pattern , Padrão de início
Starting Point , Ponto de partida
Starting Point (%) , Ponto de partida (%)
Starting Scale (%) , Escala inicial (%)
Starting Value , Valor inicial
Stationary Frames , Molduras estacionárias
Std Angle (deg.) , Ângulo Std (deg.)
Std Length Factor (%) , Factor de Comprimento Std (%)
Std Thickness Factor (%) , Factor de Espessura Std (%)
Stencil Type , Tipo Stencil
Step , Etapa
Step (%) , Etapa (%)
Steps , Passos
Stereo Image , Imagem Estéreo
Stereo Window Position , Posição da janela estéreo
Stereographic Projection , Projecção Estereográfica
Stereoscopic Image Alignment , Alinhamento Estereoscópico de Imagem
Stereoscopic Window Position , Posição da janela estereoscópica
Straight , Em linha recta
Strands , Cordões
Street , Rua
Strength , Força
Strength (%) , Força (%)
Strength Effect , Efeito de Força
Strength Highlights , Destaques da força
Strength Midtones , Pontos médios de força
Strength Shadows , Sombras de Força
Stretch , Esticar
Stretch Colors , Cores de esticar
Stretch Contrast , Contraste Esticado
Stretch Factor , Factor de alongamento
Strip , Tira
Stripe Orientation , Orientação das riscas
Stroke Angle , Ângulo de AVC
Stroke Length , Comprimento do AVC
Stroke Strength , Resistência ao AVC
Strong , Forte
Structure Smoothness , Suavidade de estrutura
Studio , Estúdio
Studio Skin Tone Shaper , Modelador de Tom de Pele de Estúdio
Style , Estilo
Style Variations , Variações de Estilo
Subdivisions , Subdivisões
Subpixel Interpolation , Interpolação Subpixel
Subpixel Level , Nível subpixel
Subsampling (%) , Subamostragem (%)
Subtle Blue , Azul subtil
Subtle Green , Verde subtil
Subtle Yellow , Amarelo subtil
Subtract , Subtrair
Subtractive , Subtractivo
Summer , Verão
Summer (alt) , Verão (alt)
Sunny (alt) , Ensolarado (alt)
Sunny (rich) , Ensolarado (rico)
Sunny (warm) , Ensolarado (quente)
Super Warm , Super Quente
Super Warm (rich) , Super Quente (rico)
Superformula , Superfórmula
Superimpose with Original? , Sobrepor com Original?
Surface Disturbance , Perturbação da Superfície
Surface Disturbance Multiplier , Multiplicador de Perturbações de Superfície
Swan , Cisne
Swap Colors , Trocar as cores
Swap Layers , Troca de camadas
Swap Radius / Angle , Trocar Raio / Ângulo
Swap Sides , Lados de troca
Sweet Bubblegum , Pastilha elástica doce
Sweet Gelatto , Gelatto doce
Symmetric 2D Shape , Forma 2D simétrica
Symmetry , Simetria
Symmetry Sides , Lados de simetria
Synthesis Scale , Escala de Síntese
Tangent Radius , Raio Tangente
Target Color #1 , Cor Alvo #1
Target Color #10 , Cor Alvo #10
Target Color #11 , Cor Alvo #11
Target Color #12 , Cor Alvo #12
Target Color #13 , Cor Alvo #13
Target Color #14 , Cor Alvo #14
Target Color #15 , Cor Alvo #15
Target Color #16 , Cor Alvo #16
Target Color #17 , Cor Alvo #17
Target Color #18 , Cor Alvo #18
Target Color #19 , Cor Alvo #19
Target Color #2 , Cor Alvo #2
Target Color #20 , Cor Alvo #20
Target Color #21 , Cor Alvo #21
Target Color #22 , Cor Alvo #22
Target Color #23 , Cor Alvo #23
Target Color #24 , Cor Alvo #24
Target Color #3 , Cor Alvo #3
Target Color #4 , Cor Alvo #4
Target Color #5 , Cor Alvo #5
Target Color #6 , Cor Alvo #6
Target Color #7 , Cor Alvo #7
Target Color #8 , Cor Alvo #8
Target Color #9 , Cor Alvo #9
Teal Orange , Laranja de Teal
TechnicalFX - Backlight Filter , TechnicalFX - Filtro de luz de fundo
Temperature Balance , Balanço de temperatura
Ten Layers , Dez camadas
Tends to Be Square , Tende a ser quadrado
Tension Green 1 , Verde Tensão 1
Tension Green 2 , Verde Tensão 2
Tension Green 3 , Verde Tensão 3
Tension Green 4 , Verde Tensão 4
Tensor Smoothness , Suavidade do Tensor
Tertiary Factor , Factor terciário
Tertiary Gamma , Gama terciária
Tertiary Shift , Turno terciário
Tertiary Twist , Torcida Terciária
Text , Texto
Texture , Textura
Texture Enhance , Melhoria da textura
Textured Glass , Vidro texturizado
The Game of Life , O Jogo da Vida
The Matrices , As Matrizes
Thickness , Espessura
Thickness (%) , Espessura (%)
Thickness (px) , Espessura (px)
Thickness Factor , Factor de Espessura
Thin Edges , Bordaduras Finas
Thin Separators , Separadores finos
Thinness , Magreza
Thinning , Desbaste
Thinning (Slow) , Desbaste (lento)
Three Layers , Três camadas
Threshold , Limiar
Threshold (%) , Limiar (%)
Threshold Etch , Limiar Etch
Threshold High , Limiar Alto
Threshold Low , Limiar Baixo
Threshold Max , Limiar Máximo
Threshold Mid , Limiar Médio
Threshold On , Limiar On
Thumbnail Size , Tamanho da miniatura
Tiger , Tigre
Tile Poles , Postes de Azulejo
Tile Size , Tamanho do azulejo
Tileable Rotation , Rotação dos ladrilhos
Tiled Isolation , Isolamento de azulejos
Tiled Normalization , Normalização de azulejos
Tiled Parameterization , Parametrização de azulejos
Tiled Preview , Pré-visualização de azulejos
Tiled Random Shifts , Turnos aleatórios de azulejos
Tiled Rotation , Rotação do azulejo
Tiles , Azulejos
Tiles to Layers , Azulejos a camadas
Time , Hora
Time Step , Etapa temporal
Timed Image , Imagem cronometrada
To Equirectangular , Para Equirectangular
To Nadir / Zenith , Para Nadir / Zenith
Toasted Garden , Jardim tostado
Toes , Dedos
Toggle to View Base Image , Alternar para Ver Imagem Base
Tolerance , Tolerância
Tolerance to Gaps , Tolerância a Lacunas
Tonal Bandwidth , Largura de banda tonal
Tone Blur , Borrão de Tom
Tone Enhance , Melhoria de Tom
Tone Gamma , Tom Gamma
Tone Mapping , Mapeamento de Tom
Tone Mapping (%) , Mapeamento de Tom (%)
Tone Mapping [Fast] , Mapeamento de Tom [Fast]
Tone Mapping Fast , Mapeamento de Tom Rápido
Tone Mapping Soft , Mapeamento de Tom Suave
Tone Presets , Presets de Tom
Tone Threshold , Limiar de Tom
Tones Range , Gama de Tons
Tones Smoothness , Suavidade dos tons
Tones to Layers , Tons a camadas
Top , Início
Top Layer , Camada superior
Top Left , Superior esquerdo
Top Right , Superior direita
Top-Left Vertex (%) , Vértice superior-esquerdo (%)
Top-Right Vertex (%) , Vértice Top-Right (%)
Torus , Toro
Total Layers , Camadas totais
Total Variation , Variação Total
Transfer Colors [Histogram] , Cores de Transferência [Histograma]
Transfer Colors [Patch-Based] , Cores de Transferência [Baseado em Patch]
Transfer Colors [PCA] , Cores de Transferência [PCA]
Transfer Colors [Variational] , Cores de transferência [Variacional]
Transform , Transformar
Transition Map , Mapa de Transição
Transition Shape , Forma de transição
Transition Smoothness , Transição Suavidade
Transmittance Map , Mapa de transmissão
Transparency , Transparência
Transparent , Transparente
Transparent Background , Antecedentes Transparentes
Transparent Black & White , Preto e Branco Transparente
Transparent Color , Cor transparente
Transparent on Black , Transparente sobre Preto
Transparent on White , Transparente sobre Branco
Transparent Skin , Pele Transparente
Tree , Árvore
Trent 18 , Trento 18
Triangle , Triângulo
Triangles , Triângulos
Triangles (Outline) , Triângulos (Esboço)
Triangular Hb , Hb triangular
Tritanomaly , Tritanomalia
True Colors 8 , Cores Verdadeiras 8
Trunk Color , Cor do tronco
Trunk Opacity (%) , Opacidade do tronco (%)
Trunks , Troncos
Tulips , Túlipas
Tunnel , Túnel
Turbulence , Turbulência
Turbulence 2 , Turbulência 2
Turbulent Halftone , Meio-tom turbulento
Turn on Rotate and Twirl , Ligar Rotate e Twirl
Twirl , Giro
Twisted Rays , Raios torcidos
Two Layers , Duas camadas
Two Threads , Dois Fios
Two-By-Two , Dois a Dois
Type , Tipo
Type Snowflake , Tipo Floco de Neve
Ultra Water , Ultra Água
UltraWarp++++ , UltraWarp+++++
Unaligned Images , Imagens desalinhadas
Undeniable , Indiscutível
Undeniable 2 , Indiscutível 2
Underwater , Debaixo de água
Undo Anaglyph , Desfazer Anaglifo
Uniform , Uniforme
Unknown , Desconhecido
Unpurple , Desenrolar
Unsharp Mask , Máscara de Desatarraxar
Unstrip , Desmarcar
Up-Left , Para cima-esquerda
Upper Layer Is the Top Layer for All Blends , A camada superior é a camada superior para todas as misturas
Upper Side Orientation , Orientação lateral superior
Uppercase Letters , Cartas em maiúsculas
Upscale [Diffusion] , Upscale [Difusão]
Upscale [Scale2x] , Upscale [Escala2x]
Urban Cowboy , Cowboy Urbano
Use as Hue , Utilização como Tonalidade
Use as Saturation , Utilização como Saturação
Use Individual Depth Map , Usar o Mapa de Profundidade Individual
Use Light , Use Luz
Use Maximum Tones , Usar o Máximo de Tons
Use Top Layer as a Priority Mask , Usar camada superior como Máscara Prioritária
User-Defined , Definido pelo utilizador
User-Defined (Bottom Layer) , Definido pelo utilizador (Camada inferior)
Uzbek Bukhara , Uzbeque Bukhara
Uzbek Marriage , Casamento Uzbeque
Uzbek Samarcande , Samarcande uzbeque
V Cutoff , Corte em V
Val Range , Gama Val
Value , Valor
Value Action , Acção de Valor
Value Blending , Mistura de valores
Value Bottom , Fundo de valor
Value Correction , Correcção de valores
Value Factor , Factor de Valor
Value Normalization , Normalização de valores
Value Offset , Compensação de valor
Value Precision , Valor Precisão
Value Range , Gama de valores
Value Scale , Escala de valores
Value Shift , Mudança de valor
Value Smoothness , Valorizar a suavidade
Value Top , Valor Topo
Value Variance , Variação de valor
Values , Valores
Van Gogh: Almond Blossom , Van Gogh: Flor de Amêndoa
Van Gogh: Irises , Van Gogh: Iris
Van Gogh: The Starry Night , Van Gogh: A Noite Estrelada
Van Gogh: Wheat Field with Crows , Van Gogh: Campo de Trigo com Corvos
Variability , Variabilidade
Variance , Variância
Variation A , Variação A
Variation B , Variação B
Variation C , Variação C
Vector Painting , Pintura Vectorial
Velocity , Velocidade
Vertex Type , Tipo de vértice
Vertical 1 Amount , Vertical 1 Quantia
Vertical 1 Length , Vertical 1 Comprimento
Vertical 2 Amount , Vertical 2 Quantia
Vertical 2 Length , Vertical 2 Comprimento
Vertical Amount , Montante Vertical
Vertical Array , Matriz Vertical
Vertical Blur , Desfoque Vertical
Vertical Length , Comprimento Vertical
Vertical Size (%) , Tamanho Vertical (%)
Vertical Stripes , Listras Verticais
Vertical Tiles , Ladrilhos Verticais
Very Course 5 , Muito Curso 5
Very Fine , Muito Bem
Very High , Muito Alta
Very High (Even Slower) , Muito alto (ainda mais lento)
Very Warm Greenish , Muito Quente Esverdeado
Vibrant , Vibrante
Vibrant (alien) , Vibrante (extraterrestre)
Vibrant (contrast) , Vibrante (contraste)
Vibrant (crome-Ish) , Vibrante (crome-Ish)
Victory , Vitória
View Outlines Only , Ver apenas Esboços
View Resolution , Ver Resolução
Vignette Contrast , Contraste de vinhetas
Vignette Min Radius , Vinheta Menos Raio
Vignette Size , Tamanho da vinheta
Vignette Strength , Força da vinheta
Vintage (brighter) , Vintage (mais brilhante)
Vintage Chrome , Crómio Vintage
Vintage Style , Estilo Vintage
Vintage Tone (%) , Tom de Vintage (%)
Virtual Landscape , Paisagem Virtual
Visible Watermark , Marca de Água Visível
Vivid Edges , Bordaduras Vivas
Vivid Edges* , Bordaduras Vivas*
Vivid Light , Luz Vívida
Vivid Screen , Ecrã Vívido
Wall , Muro
Warm , Quente
Warm (highlight) , Quente (destaque)
Warm (yellow) , Quente (amarelo)
Warm Dark Contrasty , Contraste Quente e Escuro
Warm Fade , Desvanecer o calor
Warm Fade 1 , Fade quente 1
Warm Neutral , Neutro Quente
Warm Sunset Red , Vermelho Pôr-do-sol Quente
Warm Teal , Marreta Quente
Warm Vintage , Vintage Quente
Warp [Interactive] , Warp [Interactivo]
Warp by Intensity , Warp por Intensidade
Water , Água
Waterfall , Queda de água
Wave , Onda
Wave(s) , Onda(s)
Wavelength , Comprimento de onda
Waves Amplitude , Ondas Amplitude
Waves Smoothness , Ondas Suavidade
We'll See , Veremos
Weave , Tecer
Weird , Estranho
Whirl Drawing , Desenho de turbilhão
White , Branco
White Dices , Dados brancos
White Layers , Camadas Brancas
White Level , Nível Branco
White on Black , Branco sobre Preto
White on Transparent , Branco sobre Transparente
White on Transparent Black , Branco sobre Preto Transparente
White Point , Ponto Branco
White to Black , Branco para Preto
White Walls , Paredes Brancas
Whitening , Branqueamento
Whiter Whites , Brancos mais brancos
Whites , Brancos
Width , Largura
Width (%) , Largura (%)
Wind , Vento
Winter Lighthouse , Farol de Inverno
Wipe , Toalhita
Wireframe , Estrutura de arame
Without , Sem
Wooden Gold 20 , Ouro de madeira 20
Work on Frameset , Trabalho em conjunto de molduras
Wrap , Embrulho
X Center , X Centro
X Origine , X Origem
X-Axis , Eixo X
X-Axis Then Y-Axis , Eixo X e depois eixo Y
X-Centering (%) , X-Centralização (%)
X-Curvature , X-Curvatura
X-Dispersion , X-Dispersão
X-Factor , Factor X
X-Factor (%) , Factor X (%)
X-Resolution , X-Resolução
X-Rotation , X-Rotação
X-Scale , Escala X
X-Shadow , Sombra X
X-Size , Tamanho X
X-Size (px) , Tamanho X (px)
X-Variations , X-Variações
X/Y-Ratio , Razão X/Y
X1 (none) , X1 (nenhum)
Xor , Xou
XY Mirror , XY Espelho
XY-Coordinates (%) , XY-Coordenadas (%)
Y Center , Centro Y
Y Origine , Y Origem
Y-Amplitude , Amplitude Y
Y-Axis , Eixo Y
Y-Axis Then X-Axis , Eixo Y e depois eixo X
Y-Border , Fronteira em Y
Y-Centering (%) , Centralização em Y (%)
Y-Curvature , Curvatura Y
Y-Dispersion , Dispersão em Y
Y-Factor , Fator Y
Y-Factor (%) , Fator Y (%)
Y-Resolution , Y-Resolução
Y-Scale , Escala em Y
Y-Size , Tamanho Y
Y-Size (px) , Tamanho Y (px)
Y-Variations , Y-Variações
YAG Effect , Efeito YAG
YCbCr (Chroma Only) , YCbCr (Apenas Chroma)
YCbCr (Distinct) , YCbCr (Distinto)
YCbCr (Luma Only) , YCbCr (Apenas Luma)
YCbCr (Mixed) , YCbCr (Misto)
YCbCr [Blue Chrominance] , YCbCr [Crominância Azul]
YCbCr [Blue-Red Chrominances] , YCbCr [Crominâncias Azul-Red]
YCbCr [Green Chrominance] , YCbCr [Crominância Verde]
YCbCr [Luminance] , YCbCr [Luminância]
YCbCr [Red Chrominance] , YCbCr [Crominância Vermelha]
Yellow , Amarelo
Yellow 55B , Amarelo 55B
Yellow Factor , Fator Amarelo
Yellow Film 01 , Filme Amarelo 01
Yellow Shift , Turno Amarelo
Yellow Smoothness , Suavidade Amarela
YES8 , SIM8
YIQ [chromas] , YIQ [cromas]
You Can Do It , Você pode fazê-lo
Z-Rotation , Z-Rotação
Z-Scale , Escala Z
Z-Size , Tamanho Z
Z^^8 + 15*z^^4 - 1 , Z^^8 + 15*z^4 - 1
ZilverFX - B&W Solarization , ZilverFX - Solarização a P&B
Zone System , Sistema de Zona
Zoom Center , Centro de Zoom
Zoom Factor , Fator Zoom
