<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
Bandwidth , Bandwidth(波长)
Blob Size , Blob Size(斑点大小)
Bloc Size , Bloc Size(群组大小)
Brighness , Brighness(亮度)
Burn Blur , Burn Blur(加深模糊)
Cell Size , Cell Size(像元大小)
Coherence , Coherence(连贯性)
Colorbase , Colorbase(色基)
Dark Grey , Dark Grey(深灰色)
Depth (%) , Depth (%)(深度(%))
Deviation , Deviation(偏差)
Direction , Direction(方向)
Edges (%) , Edges (%)(边(%))
Elevation , Elevation(海拔)
End Color , End Color(终止色)
Frequency , Frequency(频率)
Fuzzyness , Fuzzyness(模糊性)
Gamma (%) , Gamma (%)(伽玛(%))
Greyscale , Greyscale(灰度)
Guide Mix , Guide Mix(参考混合)
Highlight , Highlight(高光)
Hue Range , Hue Range(色相范围)
Hue Shift , Hue Shift(色相偏移)
Intensity , Intensity(强度)
Iteration , Iteration(迭代)
Key Shift , Key Shift(黑色偏移)
Landscape , Landscape(景观)
Leak Type , Leak Type(泄漏类型)
Lightness , Lightness(亮度)
Linearity , Linearity(线性度)
Low Scale , Low Scale(低明度等级)
Low Value , Low Value(低明度)
LUTs Pack , LUTs Pack(LUT包)
Map Tones , Map Tones(地图色调)
Mask Size , Mask Size(蒙版尺寸)
Mask Type , Mask Type(口罩类型)
Max Angle , Max Angle(最大角度)
Max Curve , Max Curve(最大曲线)
Maze Type , Maze Type(迷宫类型)
Much Blue , Much Blue(高光蓝色)
Normalize , Normalize(标准化)
Output As , Output As(输出为)
Overshoot , Overshoot(过冲)
Placement , Placement(放置)
Plot Type , Plot Type(绘制类型)
Pole Long , Pole Long(极长)
Pre-Gamma , Pre-Gamma(伽玛前)
Precision , Precision(精度)
Randomize , Randomize(随机化)
Red Level , Red Level(红色等级)
Red Shift , Red Shift(红色偏移)
Reference , Reference(参考)
Rendering , Rendering(渲染)
Rescaling , Rescaling(重新缩放)
Reversing , Reversing(倒车)
Rotations , Rotations(旋转)
Roundness , Roundness(圆度)
Sat Range , Sat Range(饱和度范围)
Scale (%) , Scale (%)(尺寸)
Select By , Select By(选择依据)
Selection , Selection(选拔)
Sharpness , Sharpness(锐度)
Shininess , Shininess(光泽度)
Show Grid , Show Grid(显示网格)
Smoothing , Smoothing(平滑处理)
Some Blue , Some Blue(中间调蓝色)
Some Cyan , Some Cyan(中间调青色)
Spreading , Spreading(传播)
Thickness , Thickness(宽度)
Threshold , Threshold(阈值)
Tile Size , Tile Size(瓷砖尺寸)
Time Step , Time Step(计算步长)
Tolerance , Tolerance(容差)
Tone Blur , Tone Blur(色调模糊)
Transform , Transform(变形方式)
Use Light , Use Light(使用光)
Val Range , Val Range(明度范围)
Value Top , Value Top(最高明度)
Very Fine , Very Fine(很好)
Width (%) , Width (%)(宽度(%))
X Origine , X Origine(X 起点)
X-Balance , X-Balance(X平衡)
X-End (%) , X-End (%)(X-结束(%))
X-Warping , X-Warping(X-扭曲)
X/Y-Ratio , X/Y-Ratio(X/Y-比率)
XY-Factor , XY-Factor(XY-系数)
Y Origine , Y Origine(Y 起点)
Y-Balance , Y-Balance(平衡)
Y-End (%) , Y-End (%)(Y-结束 (%))
Y-Warping , Y-Warping(Y-扭曲)
1 Levels , 1 Levels(1级)
1st Text , 1st Text(第一个文字)
1st Tone , 1st Tone(色调1)
2nd Text , 2nd Text(第二文字)
2nd Tone , 2nd Tone(色调2)
3rd Tone , 3rd Tone(色调3)
4th Tone , 4th Tone(色调4)
5th Tone , 5th Tone(色调5)
6th Tone , 6th Tone(色调6)
7.  Blur , 7.  Blur(7.模糊)
7th Tone , 7th Tone(色调7)
8th Tone , 8th Tone(色调8)
Aliasing , Aliasing(混叠)
Autocrop , Autocrop(自动裁剪)
Boundary , Boundary(边界)
Branches , Branches(分支)
Camera X , Camera X(相机 X)
Camera Y , Camera Y(相机 Y)
Category , Category(类别)
Center X , Center X(X中心)
Center Y , Center Y(Y中心)
Channels , Channels(通道)
Circle C , Circle C(C圈)
Coloring , Coloring(染色)
Contours , Contours(轮廓)
Course 4 , Course 4(课程4)
Crop (%) , Crop (%)(裁剪 (%))
Cut High , Cut High(切高)
Darkness , Darkness(暗度)
Dilation , Dilation(扩张)
Distance , Distance(距离)
Dot Size , Dot Size(点尺寸)
Duration , Duration(持续时间)
Equalize , Equalize(均衡)
Exponent , Exponent(指数)
Exposure , Exposure(接触)
Fade End , Fade End(淡出结束)
Filename , Filename(文件名)
Flatness , Flatness(平整度)
Geometry , Geometry(几何)
Guide As , Guide As(引导为)
H Cutoff , H Cutoff(H 界限)
Hue Band , Hue Band(色相滑条)
K-Factor , K-Factor(K-因子)
Lighting , Lighting(亮度)
Low Bias , Low Bias(低偏见)
Max Area , Max Area(最大面积)
Medium 3 , Medium 3(中等3)
Mid Grey , Mid Grey(中灰)
Midpoint , Midpoint(中点)
Much Red , Much Red(高光红色)
Negation , Negation(求非/负色)
Negative , Negative(负色)
Operator , Operator(操作员)
Opposing , Opposing(相对)
Order By , Order By(排序依据)
Point #0 , Point #0(点0)
Point #1 , Point #1(点1)
Point #2 , Point #2(点2)
Point #3 , Point #3(点3)
Pole Lat , Pole Lat(极点)
Position , Position(位置)
Recovery , Recovery(恢复)
Sampling , Sampling(采样)
Segments , Segments(段数)
Sharpest , Sharpest(最锐利)
Size (%) , Size (%)(尺寸(%))
Some Key , Some Key(中间调灰色)
Some Red , Some Red(中间调红色)
Specular , Specular(镜面反射)
Step (%) , Step (%)(步 (%))
Strength , Strength(强度)
Sublevel , Sublevel(子级别)
Symmetry , Symmetry(对称)
Thinness , Thinness(宽度)
Thinning , Thinning(细化)
V Cutoff , V Cutoff(V 界限)
Variance , Variance(方差)
Velocity , Velocity(速度)
X Center , X Center(X中心)
X-Border , X-Border(X边界)
X-Center , X-Center(X中心)
X-Factor , X-Factor(X-系数)
X-Motion , X-Motion(X-移动)
X-Offset , X-Offset(X-偏移)
X-Shadow , X-Shadow(X-阴影)
XY-Light , XY-Light(XY-光)
Y Center , Y Center(Y中心)
Y-Border , Y-Border(Y边界)
Y-Center , Y-Center(Y中心)
Y-Factor , Y-Factor(Y-系数)
Y-Motion , Y-Motion(Y-移动)
Y-Offset , Y-Offset(Y-偏移)
Y-Shadow , Y-Shadow(Y-阴影)
Z-Motion , Z-Motion(Z-移动)
Z-Offset , Z-Offset(Z-偏移)
Zoom (%) , Zoom (%)(缩放(%))
Zoom Out , Zoom Out(缩小)
2 Noise , 2 Noise(2噪音)
2x Type , 2x Type(2x类型)
7. Mode , 7. Mode(7.模式)
A-Value , A-Value(A-值)
Azimuth , Azimuth(方位角)
Balance , Balance(平衡)
Charset , Charset(字符集)
Clarity , Clarity(清晰度)
Closeup , Closeup(特写)
Color 1 , Color 1(颜色1)
Color 2 , Color 2(颜色2)
Color 3 , Color 3(颜色3)
Color 4 , Color 4(颜色4)
Cut Low , Cut Low(切低)
Density , Density(密度)
Details , Details(细节)
Filling , Filling(填充)
Formula , Formula(公式)
Hue (%) , Hue (%)(色相(%))
Inverse , Inverse(倒数)
Light-X , Light-X(光-X)
Light-Y , Light-Y(光-Y)
Light-Z , Light-Z(光-Z)
LN Size , LN Size(LN尺寸)
Magenta , Magenta(品红)
Mapping , Mapping(制图)
Mask By , Mask By(遮罩)
Masking , Masking(遮罩)
Octaves , Octaves(倍频程)
Opacity , Opacity(不透明度)
Outline , Outline(轮廓)
Pattern , Pattern(模式)
Point 1 , Point 1(点1)
Point 2 , Point 2(点2)
Preview , Preview(预习)
Quality , Quality(质量)
Recover , Recover(恢复)
Repeats , Repeats(重复)
Sat Top , Sat Top(最高饱和度)
Scale 1 , Scale 1(尺寸1)
Scale 2 , Scale 2(尺寸2)
Sectors , Sectors(扇形数量)
Shading , Shading(阴影)
Shadows , Shadows(阴影)
Sharpen , Sharpen(锐化)
Shivers , Shivers(颤抖)
Sigma 1 , Sigma 1(适马1)
Sigma 2 , Sigma 2(适马2)
Spacing , Spacing(间距)
Strands , Strands(股线)
Untwist , Untwist(解开)
Wave(s) , Wave(s)(波浪)
Wavelet , Wavelet(小波)
X-Angle , X-Angle(X-角度)
X-Light , X-Light(X-光)
X-Ratio , X-Ratio(X-比率)
X-Scale , X-Scale(X-缩放)
X-Shift , X-Shift(X-移动)
X-Tiles , X-Tiles(X-块数)
Y-Angle , Y-Angle(Y-角度)
Y-Light , Y-Light(Y-光)
Y-Ratio , Y-Ratio(Y-比率)
Y-Scale , Y-Scale(Y-缩放)
Y-Shift , Y-Shift(Y-位移)
Y-Tiles , Y-Tiles(Y-块数)
Z-Angle , Z-Angle(Z-角度)
Z-Light , Z-Light(Z-光)
Z-Range , Z-Range(Z-范围)
Z-Scale , Z-Scale(Z-尺寸)
Zoom In , Zoom In(放大)
Action , Action(动作)
Amount , Amount(量)
Aspect , Aspect(宽高比)
Blacks , Blacks(黑色)
Blob 9 , Blob 9(斑点9)
Bottom , Bottom(底部)
Bright , Bright(亮度)
Center , Center(中心)
Centre , Centre(中心)
Chroma , Chroma(色度)
Coarse , Coarse(粗糙)
Colors , Colors(颜色)
Cycles , Cycles(周期数)
Darken , Darken(变暗)
Deform , Deform(变形)
Detail , Detail(详情)
Dilate , Dilate(扩张)
Factor , Factor(系数)
Fading , Fading(衰减)
Fine 2 , Fine 2(好2)
Focale , Focale(焦点)
Frames , Frames(帧数)
Global , Global(全局)
Height , Height(高度)
Interp , Interp(插值)
Invert , Invert(反转)
Kernel , Kernel(核心)
Length , Length(长度)
Levels , Levels(等级)
Little , Little(低饱和度)
Lookup , Lookup(查找)
Medium , Medium(中等)
Method , Method(方法)
Metric , Metric(公制)
Mirror , Mirror(镜像)
Modulo , Modulo(模数)
Negate , Negate(否定)
Number , Number(数)
Origin , Origin(起源)
Output , Output(输出)
Period , Period(期)
Petals , Petals(花瓣数)
Points , Points(点数)
Preset , Preset(预设值)
Radius , Radius(半径)
Reject , Reject(拒绝)
Relief , Relief(浮雕)
Repeat , Repeat(重复)
Rotate , Rotate(旋转)
Scales , Scales(缩放)
Shadow , Shadow(阴影)
Shapes , Shapes(形状)
Size-1 , Size-1(尺寸-1)
Size-2 , Size-2(尺寸-2)
Size-3 , Size-3(尺寸-3)
Smooth , Smooth(光滑)
Soften , Soften(软化)
Spread , Spread(扩散)
Target , Target(目标)
Trunks , Trunks(皮箱)
Values , Values(价值观)
Whites , Whites(白人)
X-Size , X-Size(X-尺寸)
Y-Size , Y-Size(Y-尺寸)
Yellow , Yellow(黄色)
Z-Size , Z-Size(Z-尺寸)
3 Mix , 3 Mix(3混合)
Angle , Angle(角度)
Black , Black(黑色)
Blend , Blend(混合)
Boost , Boost(促进)
Clean , Clean(清理)
Color , Color(颜色)
Denim , Denim(牛仔布)
Depth , Depth(深度)
Forme , Forme(为了我)
Gamma , Gamma(伽玛)
Grain , Grain(颗粒)
Green , Green(绿色)
Input , Input(输入项)
Iters , Iters(迭代)
Large , Large(大)
Layer , Layer(层)
Level , Level(等级)
Light , Light(光)
Lines , Lines(线性[Lines])
Max-T , Max-T(最大-T)
Metal , Metal(金属)
Min-T , Min-T(最小-T)
Mixer , Mixer(混合器)
MIxer , MIxer(混合器)
Order , Order(排序方式 )
Paint , Paint(涂料)
Patch , Patch(补丁)
Phase , Phase(相)
Power , Power(功率)
Quick , Quick(快)
Range , Range(范围)
Ratio , Ratio(宽高比)
Remix , Remix(混合)
Rendu , Rendu(渲染)
Right , Right(直接)
Scale , Scale(尺寸)
Shade , Shade(阴影)
Shape , Shape(形状)
Shift , Shift(转移)
Sigma , Sigma(西格玛)
Space , Space(空间)
Speed , Speed(速度)
Steps , Steps(步数)
Style , Style(样式)
Tiles , Tiles(块数)
Value , Value(明度)
White , White(白色)
Width , Width(宽度)
X-Max , X-Max(X-最大)
X-Min , X-Min(X-最小)
Area , Area(区域)
Axis , Axis(轴)
Bias , Bias(偏压)
Blue , Blue(蓝色)
Blur , Blur(模糊)
Code , Code(码)
Crop , Crop(裁剪)
Cyan , Cyan(青色)
Fast , Fast(快速)
Fine , Fine(精细)
Gain , Gain(增加)
Glow , Glow(辉光)
Keep , Keep(保持)
Left , Left(剩下)
Line , Line(线)
Luma , Luma(亮度)
Mask , Mask(蒙版)
Mode , Mode(模式)
Most , Most(最高饱和度)
Much , Much(高饱和度)
None , None(无)
Seed , Seed(种子)
Size , Size(尺寸)
Some , Some(中饱和度)
Span , Span(跨度)
Step , Step(步)
Text , Text(文本)
Tilt , Tilt(倾斜)
Time , Time(时间)
Toes , Toes(脚趾)
Type , Type(类型)
B&W , B&W(黑白)
Cut , Cut(切割)
Exp , Exp(经验值)
FOV , FOV(视场)
Hue , Hue(色相)
Map , Map(地图)
Max , Max(最大)
Mid , Mid(中)
Min , Min(最小)
Rcx , Rcx(接收)
Red , Red(红色)
On , On(上)
Up , Up(向上)
Zero , Zero(零)
YIQ [luma] , YIQ [luma](YIQ [亮度])
YIQ [Luma] , YIQ [Luma](YIQ [亮度])
YIQ [chromas] , YIQ [chromas](YIQ [色度])
YIQ [Chromas] , YIQ [Chromas](YIQ [色度])
YCbCr [red Chrominance] , YCbCr [red Chrominance](YCbCr [红色色度])
YCbCr [Red Chrominance] , YCbCr [Red Chrominance](YCbCr [红色色度])
YCbCr [luminance] , YCbCr [luminance](YCbCr [亮度])
YCbCr [Luminance] , YCbCr [Luminance](YCbCr [亮度])
YCbCr [green Chrominance] , YCbCr [green Chrominance](YCbCr [绿色色度])
YCbCr [Green Chrominance] , YCbCr [Green Chrominance](YCbCr [绿色色度])
YCbCr [blue-Red Chrominances] , YCbCr [blue-Red Chrominances](YCbCr [蓝-红 色度])
YCbCr [Blue-Red Chrominances] , YCbCr [Blue-Red Chrominances](YCbCr [蓝-红 色度])
YCbCr [blue Chrominance] , YCbCr [blue Chrominance](YCbCr [蓝色色度])
YCbCr [Blue Chrominance] , YCbCr [Blue Chrominance](YCbCr [蓝色色度])
YCbCr (Mixed) , YCbCr (Mixed)(YCbCr (混合))
YCbCr (Distinct) , YCbCr (Distinct)(YCbCr (明显))
Y-Axis Then X-Axis , Y-Axis Then X-Axis(Y轴然后X轴)
Y-Axis , Y-Axis(Y轴)
XY-Axis , XY-Axis(XY轴)
Xy-Axes , Xy-Axes(XY轴)
XY-Axes , XY-Axes(XY轴)
Xor , Xor(异或)
X-Axis Then Y-Axis , X-Axis Then Y-Axis(X轴然后Y轴)
X-Axis , X-Axis(X轴)
Wrap , Wrap(包裹)
Wireframe , Wireframe(线框)
Whiter Whites , Whiter Whites(较白的白人)
Whitening , Whitening(变白)
White Walls , White Walls(白墙)
White to Black , White to Black(白到黑)
White on Transparent Black , White on Transparent Black(透明白底·黑字)
White on Transparent , White on Transparent(透明底白线)
White on Black , White on Black(黑底白线)
White Dices , White Dices(白色骰子)
Weird , Weird(异形)
Warm Vintage , Warm Vintage(温暖的年份)
Vividlight , Vividlight(亮光)
Vivid Screen , Vivid Screen(亮色滤色)
Vivid Light , Vivid Light(亮光)
Vivid Edges* , Vivid Edges*(亮色边缘*)
Vivid Edges , Vivid Edges(亮色边缘)
Virtual Landscape , Virtual Landscape(虚拟景观)
Very High (Even Slower) , Very High (Even Slower)(很高(很慢))
Very High , Very High(很高)
Vertical Stripes , Vertical Stripes(垂直条纹)
Vertical Array , Vertical Array(垂直阵列)
Vertical , Vertical(垂直)
Velvetia , Velvetia(天鹅绒)
Van Gogh: Wheat Field with Crows , Van Gogh: Wheat Field with Crows(梵高:乌鸦的麦田)
Van Gogh: The Starry Night , Van Gogh: The Starry Night(梵高:星夜)
Van Gogh: Irises , Van Gogh: Irises(梵高:鸢尾花)
Van Gogh: Almond Blossom , Van Gogh: Almond Blossom(梵高:杏仁花)
User-Defined (Bottom Layer) , User-Defined (Bottom Layer)(用户自定义(底层))
Uppercase Letters , Uppercase Letters(大写字母)
Upper Layer Is the Top Layer for All Blends , Upper Layer Is the Top Layer for All Blends(上层是所有混合的顶层)
Up-Right , Up-Right(右上)
Up-Left , Up-Left(左上)
Unsharp Mask , Unsharp Mask(锐化蒙版)
Unknown , Unknown(未知)
Uniform , Uniform(均匀)
Underwater , Underwater(水下的)
Unaligned Images , Unaligned Images(未对齐的图像)
Two-By-Two , Two-By-Two(二乘二)
Two Threads , Two Threads(两线程)
Two Layers , Two Layers(两层)
Turbulence 2 , Turbulence 2(湍流2)
Tritanopia , Tritanopia(黄蓝色盲)
Tritanomaly , Tritanomaly(蓝黄色弱)
Trig-6 , Trig-6(三角6)
Trig-4 , Trig-4(三角4)
Triangular Vb , Triangular Vb(三角形 Vb)
Triangular Va , Triangular Va(三角形 Va)
Triangular Hb , Triangular Hb(三角形 Hb)
Triangular Ha , Triangular Ha(三角形 Ha)
Triangles (Outline) , Triangles (Outline)(三角形(轮廓))
Triangles , Triangles(三角形)
Triangle , Triangle(三角形)
Transparent Skin , Transparent Skin(透明皮肤)
Transparent on White , Transparent on White(白底透明线)
Transparent on Black , Transparent on Black(黑底透明线)
Transparent Color , Transparent Color(透明色)
Transparent Black & White , Transparent Black & White(透明黑白)
Transparent , Transparent(透明)
Transition Map , Transition Map(过渡图)
Tout , Tout(out)
Total Variation , Total Variation(总变化)
Torus , Torus(圆环)
Top Right , Top Right(右上)
Top Left , Top Left(左上)
Top Layer , Top Layer(上层)
Top , Top(顶部)
Tone Mapping Soft , Tone Mapping Soft(色调映射-软)
Tone Mapping Fast , Tone Mapping Fast(色调映射-快速)
To Nadir / Zenith , To Nadir / Zenith(转为 底/顶 视图)
To Equirectangular , To Equirectangular(转为等分矩形视图)
Tiny , Tiny(极小)
Timed Image , Timed Image(定时图像)
Tikhonov , Tikhonov(季霍诺夫)
Tic-Tac-Toe , Tic-Tac-Toe(井字游戏)
Three Layers , Three Layers(三层)
Thinning (Slow) , Thinning (Slow)(细化(慢))
Thelypteridaceae , Thelypteridaceae(伞形科)
The Game of Life , The Game of Life(人生游戏)
Ten Layers , Ten Layers(十层)
Tangent , Tangent(切线)
Swap Radius / Angle , Swap Radius / Angle(交换半径/角度)
Swap , Swap(交换)
Subtractive , Subtractive(减法)
Subtract , Subtract(减去)
Studio , Studio(工作室)
Strong , Strong(强力)
Stretch , Stretch(伸展)
Straight , Straight(直线)
Stars (Outline) , Stars (Outline)(星星(轮廓))
Stardust , Stardust(星尘)
Star , Star(星型)
Standard Deviation , Standard Deviation(标准偏差)
Standard [No Scan] , Standard [No Scan](标准[不扫描])
Standard (256) , Standard (256)(标准(256))
Standard , Standard(标准)
Squares (Outline) , Squares (Outline)(正方形(轮廓))
Squares , Squares(方格)
Squared-Euclidean , Squared-Euclidean(平方欧几里得)
Square 2 , Square 2(正方形 2-◇)
Square 1 , Square 1(正方形 1-□)
Square (Inv.) , Square (Inv.)(正方形(反转))
Square , Square(正方形)
Split Brightness / Colors , Split Brightness / Colors(分开亮度/颜色)
Splines , Splines(曲线)
Spline Editor , Spline Editor(样条编辑器)
Spline B6 , Spline B6(样条插值B6)
Spline B5 , Spline B5(样条插值B5)
Spline B4 , Spline B4(样条插值B4)
Spline B3 , Spline B3(样条插值B3)
Spline B2 , Spline B2(样条插值B2)
Spline B1 , Spline B1(样条插值B1)
Solarize , Solarize(曝光过度)
Softdodge , Softdodge(柔和减淡)
Soft Light , Soft Light(柔光)
Soft Glow , Soft Glow(柔光)
Soft Dodge , Soft Dodge(柔和减淡)
Soft Burn , Soft Burn(柔和加深)
Soft  Light , Soft  Light(柔光)
Soft , Soft(柔软的)
Smooth Only , Smooth Only(仅平滑)
Smooth Light , Smooth Light(柔光)
Smooth Dark , Smooth Dark(柔暗)
Smart , Smart(智能)
Small (Faster) , Small (Faster)(小 (较快))
Small , Small(小)
Slow Recovery , Slow Recovery(缓慢恢复)
Slow (Accurate) , Slow (Accurate)(缓慢(准确))
Skin Tone Mask , Skin Tone Mask(肤色蒙版)
Skin Tone Colors , Skin Tone Colors(肤色颜色)
Skin Mask , Skin Mask(皮肤遮罩)
Sixteen Threads , Sixteen Threads(十六线程)
Six Layers , Six Layers(六层)
Sinusoidal , Sinusoidal(正弦曲线)
Single Opaque Shapes Over Transp. BG , Single Opaque Shapes Over Transp. BG(透明背景上的单一不透明形状)
Single Layer , Single Layer(单层)
Single Custom Depth Map , Single Custom Depth Map(单个自定义深度图)
Single (Merged) , Single (Merged)(单层(合并))
Sine+ , Sine+(正弦+)
Sine , Sine(正弦波)
Silver , Silver(银)
Sierpinksi Design , Sierpinksi Design(谢尔宾斯基三角形)
Side by Side , Side by Side(并排)
Shrink , Shrink(收缩)
Sharpening Layer , Sharpening Layer(锐化层)
Sharpened Areas Only , Sharpened Areas Only(仅尖锐区域)
Shapeaverage , Shapeaverage(形状平均)
Shape Min0 , Shape Min0(形状最小值0)
Shape Min , Shape Min(形状最小值)
Shape Median0 , Shape Median0(形状中间带0)
Shape Median , Shape Median(形状中间带)
Shape Max0 , Shape Max0(形状最大值0)
Shape Max , Shape Max(形状最大值)
Shape Average0 , Shape Average0(形状平均值0)
Shape Average , Shape Average(形状平均值)
Shape Area Min0 , Shape Area Min0(形状区域最小0)
Shape Area Min , Shape Area Min(形状区域最小)
Shape Area Max0 , Shape Area Max0(形状区域最大0)
Shape Area Max , Shape Area Max(形状区域最大)
Shadebobs , Shadebobs(影子鲍勃)
Seventies Magazine , Seventies Magazine(七十年代杂志)
Seven Layers , Seven Layers(七层)
Set Aspect Only , Set Aspect Only(仅设置长宽比)
Sequence X8 , Sequence X8(顺序X8)
Sequence X6 , Sequence X6(顺序X6)
Sequence X4 , Sequence X4(顺序X4)
Self Image , Self Image(本图)
Self , Self(自身)
Selective Gaussian , Selective Gaussian(选择性高斯平滑)
Selected Mask , Selected Mask(所选遮罩)
Selected Frame , Selected Frame(选定框架)
Selected Colors , Selected Colors(选定的颜色)
Secant , Secant(割线法)
Screen , Screen(滤色)
Scr , Scr(滤色)
Scaled , Scaled(缩放比例)
Scale RGB , Scale RGB(缩放RGB)
Scale CMYK , Scale CMYK(缩放CMYK)
Scalar , Scalar(标量)
Save CLUT as .Cube or .Png File , Save CLUT as .Cube or .Png File(将CLUT另存为.Cube或.Png文件)
Sans , Sans(无)
Same Axis , Same Axis(同轴)
Salt and Pepper , Salt and Pepper(椒盐)
RYB [Yellow] , RYB [Yellow](RYB [黄色])
RYB [Red] , RYB [Red](RYB [红色])
RYB [Blue] , RYB [Blue](RYB [蓝色])
RYB [All] , RYB [All](RYB [全部])
Runge-Kutta , Runge-Kutta(龙格-库塔)
Rubik , Rubik(魔方)
Row by Row , Row by Row(逐行)
Round , Round(圆形)
Rotate 90 Deg. , Rotate 90 Deg.(旋转90度)
Rotate 270 Deg. , Rotate 270 Deg.(旋转270度)
Rotate 180 Deg. , Rotate 180 Deg.(旋转180度)
Robert Cross 2 , Robert Cross 2(罗伯特·克罗斯2)
Robert Cross 1 , Robert Cross 1(罗伯特·克罗斯1)
Rigid , Rigid(不变形)
Right Stream Only , Right Stream Only(仅右流)
Right Foreground , Right Foreground(正确的前景)
Right Eye View , Right Eye View(右眼视图)
Right Diagonal Foreground , Right Diagonal Foreground(右对角前景)
Right Diagonal  Foreground , Right Diagonal  Foreground(右对角前景)
Rice , Rice(稻谷噪点)
RGBA Image (Updatable / 1 Layer) , RGBA Image (Updatable / 1 Layer)(RGBA图像(可更新/ 1层))
RGBA Image (Full-Transparency / 1 Layer) , RGBA Image (Full-Transparency / 1 Layer)(RGBA图像(全透明/ 1层))
RGBA Foreground + Background (2 Layers) , RGBA Foreground + Background (2 Layers)(RGBA前景+背景(2层))
RGBA [alpha] , RGBA [alpha](RGBA [透明])
RGBA [Alpha] , RGBA [Alpha](RGBA [透明])
RGBA [all] , RGBA [all](RGBA [全部])
RGBA [All] , RGBA [All](RGBA [全部])
RGB[A] , RGB[A](RGB [A])
RGB Quantization , RGB Quantization(RGB量化)
RGB Image + Binary Mask (2 Layers) , RGB Image + Binary Mask (2 Layers)(RGB图像+二进制蒙版(2层))
RGB [red] , RGB [red](RGB [红色])
RGB [Red] , RGB [Red](RGB [红色])
RGB [green] , RGB [green](RGB [绿色])
RGB [Green] , RGB [Green](RGB [绿色])
RGB [blue] , RGB [blue](RGB [蓝色])
RGB [Blue] , RGB [Blue](RGB [蓝色])
RGB [all] , RGB [all](RGB [全部])
RGB [All] , RGB [All](RGB [全部])
Reverse Pow , Reverse Pow(逆幂)
Reverse Mod , Reverse Mod(逆模)
Reverse Bytes , Reverse Bytes(反向字节)
Reverse Bits , Reverse Bits(反转位)
Retouched Image Final , Retouched Image Final(修饰图像决赛)
Retouched Image Basic , Retouched Image Basic(修饰的图像基本)
Retouched Image , Retouched Image(修饰图像)
Retouched Areas Only , Retouched Areas Only(仅修饰区域)
Retouched and Sharpened Areas , Retouched and Sharpened Areas(修饰和锐化的区域)
Retouch Layer , Retouch Layer(修饰图层)
Result Image , Result Image(最终图像)
Replaced Color , Replaced Color(更换颜色)
Replace With White , Replace With White(换成白色)
Replace Source by Target , Replace Source by Target(按目标替换源)
Replace Layer with CLUT , Replace Layer with CLUT(用CLUT替换图层)
Replace (Sharpest) , Replace (Sharpest)(替换(清晰))
Replace , Replace(替换)
Repeat [Memory Consuming!] , Repeat [Memory Consuming!](重复[消耗内存!])
Rendu En Haut , Rendu En Haut(渲染到顶部)
Rendu En Bas , Rendu En Bas(渲染到底部)
Rendu a Gauche , Rendu a Gauche(渲染到左侧)
Rendu a Droite , Rendu a Droite(渲染到右侧)
Render on White Areas , Render on White Areas(在白色区域上渲染)
Render on Dark Areas , Render on Dark Areas(在黑暗区域渲染)
Rejected Mask , Rejected Mask(拒绝遮罩)
Rejected Colors , Rejected Colors(拒绝的颜色)
Reflect , Reflect(反射)
Red-Green , Red-Green(红绿色)
Red Chrominance , Red Chrominance(红色色度)
Rectangle , Rectangle(长方形)
Reconstruct From Previous Frames , Reconstruct From Previous Frames(从以前的帧重建)
Recompose , Recompose(重新组合)
Rayons Couleurs ABCDEFG , Rayons Couleurs ABCDEFG(彩色光线 ABCDEFG)
Rayons Couleurs ABCDEF , Rayons Couleurs ABCDEF(彩色光线 ABCDEF)
Rayons Couleurs ABCDE , Rayons Couleurs ABCDE(彩色光线 ABCDE)
Rayons Couleurs ABCD , Rayons Couleurs ABCD(彩色光线 ABCD)
Rayons Couleurs ABC , Rayons Couleurs ABC(彩色光线 ABC)
Rayons Couleurs AB , Rayons Couleurs AB(彩色光线 AB)
Randomized , Randomized(随机化)
Random [non-Transparent] , Random [non-Transparent](随机[非透明])
Radial , Radial(径向的)
Quadratic , Quadratic(二次方)
Pyramid , Pyramid(棱锥)
Protanopia , Protanopia(红色盲)
Protanomaly , Protanomaly(红色弱)
Procedural , Procedural(程序性)
Probability Map , Probability Map(概率图)
Pre-Defined , Pre-Defined(预定义)
Pow , Pow(超过)
Positive , Positive(正)
Portrait , Portrait(肖像)
Pollock: Summertime Number 9A , Pollock: Summertime Number 9A(波洛克:夏季编号9A)
Pollock: Convergence , Pollock: Convergence(波洛克:收敛)
Poisson , Poisson(泊松噪点)
Plasma Effect , Plasma Effect(等离子效应)
Plane , Plane(平面)
Pixel Values , Pixel Values(像素值)
Pinlight , Pinlight(针灯)
Pin Light , Pin Light(点光)
Picasso: The Reservoir - Horta De Ebro , Picasso: The Reservoir - Horta De Ebro(毕加索:水库-奥尔塔爱布罗)
Picasso: Seated Woman , Picasso: Seated Woman(毕加索:坐着的女人)
Picasso: Les Demoiselles D'Avignon , Picasso: Les Demoiselles D'Avignon(毕加索:亚维农的少女)
Picabia: Udnie , Picabia: Udnie(皮卡比亚:乌德尼)
Phong , Phong(冯氏着色)
Perserve Luminance , Perserve Luminance(保持亮度)
Periodic , Periodic(周期)
Pentagon , Pentagon(五边形)
Pea Soup , Pea Soup(豌豆汤)
PCA Transfer , PCA Transfer(PCA转移)
