<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
Snowflake Recursion , Ricorsione del fiocco di neve
Soft  Light , Luce soffusa
Soft Burn , Bruciatura morbida
Soft Fade , Dissolvenza morbida
Soft Glow , Bagliore morbido
Soft Glow [Animated] , Bagliore morbido [Animato]
Soft Light , Luce soffusa
Soft Random Shades , Sfumature casuali morbide
Soft Warming , Riscaldamento dolce
Soften , Ammorbidire
Soften All Channels , Ammorbidire tutti i canali
Soften Guide , Ammorbidire la guida
Solarize Color , Solarizzare il colore
Solarized Color2 , Colore Solarizzato2
Solidify , Solidificare
Solve Maze , Risolvere il labirinto
Some , Alcuni
Some Blue , Un po' di blu
Some Cyan , Alcuni ciano
Some Green , Un po' di verde
Some Key , Alcune chiavi
Some Magenta , Alcuni Magenta
Some Red , Un po' di rosso
Some Yellow , Un po' di giallo
Sort Colors , Ordina colori
Sorting Criterion , Criterio di ordinamento
Source (%) , Fonte (%)
Source Color #1 , Colore sorgente #1
Source Color #10 , Colore sorgente #10
Source Color #11 , Colore sorgente #11
Source Color #12 , Colore sorgente #12
Source Color #13 , Colore sorgente #13
Source Color #14 , Colore sorgente #14
Source Color #15 , Colore sorgente #15
Source Color #16 , Colore sorgente #16
Source Color #17 , Colore sorgente #17
Source Color #18 , Colore sorgente #18
Source Color #19 , Colore sorgente #19
Source Color #2 , Colore sorgente #2
Source Color #20 , Colore sorgente #20
Source Color #21 , Colore sorgente #21
Source Color #22 , Colore sorgente #22
Source Color #23 , Colore sorgente #23
Source Color #24 , Colore sorgente #24
Source Color #3 , Colore sorgente #3
Source Color #4 , Colore sorgente #4
Source Color #5 , Colore sorgente #5
Source Color #6 , Colore sorgente #6
Source Color #7 , Colore sorgente #7
Source Color #8 , Colore sorgente #8
Source Color #9 , Colore sorgente #9
Source X-Tiles , Fonte X-Tiles
Source Y-Tiles , Fonte Y-Tiles
Space , Spazio
Spacing , Spaziatura
Spatial Bandwidth , Larghezza di banda spaziale
Spatial Metric , Metrico spaziale
Spatial Overlap , Sovrapposizione spaziale
Spatial Precision , Precisione spaziale
Spatial Radius , Raggio spaziale
Spatial Regularization , Regolarizzazione spaziale
Spatial Sampling , Campionamento spaziale
Spatial Scale , Scala spaziale
Spatial Tolerance , Tolleranza spaziale
Spatial Transition , Transizione spaziale
Spatial Variance , Varianza spaziale
Special Effects , Effetti speciali
Specific Saturation , Saturazione specifica
Specify Different Output Size , Specificare le diverse dimensioni di uscita
Specify HaldCLUT As , Specificare HaldCLUT come
Specular , Speculare
Specular (%) , Speculare (%)
Specular Centering , Centraggio speculare
Specular Intensity , Intensità speculare
Specular Light , Luce speculare
Specular Lightness , Leggerezza speculare
Specular Shininess , Lucentezza speculare
Specular Size , Dimensione speculare
Speed , Velocità
Sphere , Sfera
Spiral , Spirale
Spiral RGB , Spirale RGB
Spline Max Angle (deg) , Angolo massimo della scanalatura (gradi)
Spline Max Length (px) , Lunghezza massima della scanalatura (px)
Spline Roundness , Rotondità della scanalatura
Split Base and Detail Output , Dividere la base e l'uscita di dettaglio
Split Brightness / Colors , Split Luminosità / Colori
Split Details [Alpha] , Dividere i dettagli [Alpha]
Split Details [Gaussian] , Dividere i dettagli [Gaussiano]
Split Details [Wavelets] , Dettagli di divisione [Wavelets] [Wavelets]
Sponge , Spugna
Spread , Diffondi
Spread Amount , Importo dello spread
Spread Angles , Angoli di diffusione
Spread Noise Amount , Importo del rumore diffuso
Spreading , Diffusione
Spring Morning , Primavera Mattina
Sprocket 231 , Pignone 231
Spy 29 , Spia 29
Square , Piazza
Square (Inv.) , Piazza (Inv.)
Square 1 , Piazza 1
Square 2 , Piazza 2
Square to Circle , Da piazza a cerchio
Squared-Euclidean , Quadrato euclideo
Squares , Piazze
Squares (Outline) , Quadrati (Schema)
SRGB Conversion , Conversione SRGB
Stabilizer , Stabilizzatore
Stained Glass , Vetro colorato
Stamp , Timbro
Standard [No Scan] , Standard [Nessuna scansione]
Standard Deviation , Deviazione standard
Star , Stella
Star: -5*(z^3/3-Z/4)/2 , Stella: -5*(z^3/3-Z/4)/2
Stardust , Polvere di stelle
Stars , Stelle
Stars (Outline) , Stelle (Contorno)
Start Angle , Angolo di partenza
Start Color , Inizio Colore
Start Frame Number , Numero di telaio di partenza
Start of Mid-Tones , Inizio dei toni medi
Starting Angle , Angolo di partenza
Starting Color , Colore di partenza
Starting Feathering , Piuma di partenza
Starting Frame , Telaio di partenza
Starting Level , Livello di partenza
Starting Pattern , Schema di partenza
Starting Point , Punto di partenza
Starting Point (%) , Punto di partenza (%)
Starting Scale (%) , Scala di partenza (%)
Starting Value , Valore di partenza
Stationary Frames , Cornici stazionarie
Std Angle (deg.) , Angolo Std (deg.)
Std Branching , Filiale Std
Std Length Factor (%) , Fattore di lunghezza Std (%)
Std Thickness Factor (%) , Fattore di spessore Std (%)
Stencil Type , Tipo di stencil
Step , Passo
Step (%) , Passo (%)
Steps , Passi
Stereo Image , Immagine stereo
Stereo Window Position , Posizione della finestra stereo
Stereographic Projection , Proiezione stereografica
Stereoscopic Image Alignment , Allineamento dell'immagine stereoscopica
Stereoscopic Window Position , Posizione della finestra stereoscopica
Straight , Dritto
Strands , Fili
Street , Via
Strength , Forza
Strength (%) , Forza (%)
Strength Effect , Effetto di forza
Strength Highlights , Punti di forza
Strength Midtones , Forza Midtones
Strength Shadows , Forza Ombre
Stretch , Allungamento
Stretch Colors , Colori estensibili
Stretch Contrast , Contrasto di allungamento
Stretch Factor , Fattore di allungamento
Strip , Striscia
Stripe Orientation , Orientamento a strisce
Stroke , Corsa
Stroke Angle , Angolo della corsa
Stroke Length , Lunghezza della corsa
Stroke Strength , Forza del colpo
Strong , Forte
Structure Smoothness , Struttura scorrevolezza
Style , Stile
Style Variations , Variazioni di stile
Stylize , Stilizzare
Subdivisions , Suddivisioni
Subpixel Interpolation , Interpolazione subpixel
Subpixel Level , Livello Subpixel
Subsampling (%) , Sottocampionamento (%)
Subtle Blue , Sottile Blu
Subtle Green , Sottile verde
Subtle Yellow , Sottile Giallo
Subtract , Sottrarre
Subtractive , Sottrattivo
Summer , Estate
Summer (alt) , Estate (alt)
Sunny (alt) , Soleggiato (alt)
Sunny (rich) , Soleggiato (ricco)
Sunny (warm) , Soleggiato (caldo)
Super Warm , Super Caldo
Super Warm (rich) , Super caldo (ricco)
Super-Pixels , Super-Pixel
Superimpose with Original? , Sovrapporre l'originale?
Surface Disturbance , Disturbo della superficie
Surface Disturbance Multiplier , Moltiplicatore di Disturbi di Superficie
Swan , Cigno
Swap , Scambiare
Swap Colors , Scambia colori
Swap Layers , Scambiare gli strati
Swap Radius / Angle , Raggio di scambio / Angolo
Swap Sides , Scambiare i lati
Sweet Bubblegum , Gomma da masticare dolce
Sweet Gelatto , Gelatto dolce
Symmetric 2D Shape , Forma simmetrica 2D
Symmetry , Simmetria
Symmetry Sides , Fianchi di simmetria
Synthesis Scale , Scala di sintesi
Tan(z) , Abbronzatura(z)
Tangent Radius , Raggio tangente
Target Color #1 , Colore target #1
Target Color #10 , Colore target #10
Target Color #11 , Colore target #11
Target Color #12 , Colore target #12
Target Color #13 , Colore target #13
Target Color #14 , Colore target #14
Target Color #15 , Colore target #15
Target Color #16 , Colore target #16
Target Color #17 , Colore target #17
Target Color #18 , Colore target #18
Target Color #19 , Colore target #19
Target Color #2 , Colore target #2
Target Color #20 , Colore target #20
Target Color #21 , Colore target #21
Target Color #22 , Colore target #22
Target Color #23 , Colore target #23
Target Color #24 , Colore target #24
Target Color #3 , Colore target #3
Target Color #4 , Colore target #4
Target Color #5 , Colore target #5
Target Color #6 , Colore target #6
Target Color #7 , Colore target #7
Target Color #8 , Colore target #8
Target Color #9 , Colore target #9
Teal Fade , Dissolvenza alzavola
Teal Magenta Gold , Alzavola Magenta Oro
Teal Moonlight , Alzavola al chiaro di luna
Teal Orange , Arancia alzavola
Teal Orange 1 , Alzavola arancione 1
Teal Orange 2 , Alzavola arancione 2
Teal Orange 3 , Alzavola arancione 3
TechnicalFX - Backlight Filter , TechnicalFX - Filtro retroilluminazione
Temperature Balance , Bilanciamento della temperatura
Ten Layers , Dieci strati
Tends to Be Square , Tende ad essere quadrato
Tension Green 1 , Tensione Verde 1
Tension Green 2 , Tensione verde 2
Tension Green 3 , Tensione verde 3
Tension Green 4 , Tensione verde 4
Tensor Smoothness , Lisciozza della trazione
Tertiary Factor , Fattore terziario
Tertiary Gamma , Gamma Terziario
Tertiary Shift , Spostamento terziario
Tertiary Twist , Torsione terziaria
Text , Testo
Texture Enhance , Miglioramento della struttura
Textured Glass , Vetro strutturato
The Game of Life , Il gioco della vita
The Matrices , Le matrici
Thickness , Spessore
Thickness (%) , Spessore (%)
Thickness (px) , Spessore (px)
Thickness Factor , Fattore di spessore
Thin Edges , Bordi sottili
Thin Separators , Separatori sottili
Thinness , Sottigliezza
Thinning , Diradamento
Thinning (Slow) , Diradamento (lento)
Three Layers , Tre strati
Threshold , Soglia
Threshold (%) , Soglia (%)
Threshold Etch , Incisione della soglia
Threshold High , Soglia Alta
Threshold Low , Soglia bassa
Threshold Max , Soglia Max
Threshold Mid , Soglia Media
Threshold On , Soglia On
Thumbnail Size , Dimensione dell'immagine in miniatura
Tiger , Tigre
Tile Poles , Pali per piastrelle
Tile Size , Dimensione della piastrella
Tileable Rotation , Rotazione piastrellabile
Tiled Isolation , Isolamento piastrellato
Tiled Normalization , Normalizzazione piastrellata
Tiled Parameterization , Parametrizzazione piastrellata
Tiled Preview , Anteprima piastrellata
Tiled Random Shifts , Turni casuali piastrellati
Tiled Rotation , Rotazione piastrellata
Tiles , Piastrelle
Tiles to Layers , Piastrelle a strati
Tilt , Inclinazione
Time , Tempo
Time Step , Passo di tempo
Timed Image , Immagine temporizzata
Tiny , Piccolo
To Equirectangular , A Equirettangolare
To Nadir / Zenith , A Nadir / Zenith
Toasted Garden , Giardino tostato
Toggle to View Base Image , Passa a visualizzare l'immagine di base
Tolerance , Tolleranza
Tolerance to Gaps , Tolleranza alle lacune
Tonal Bandwidth , Larghezza di banda tonale
Tone Blur , Sfocatura del tono
Tone Enhance , Miglioramento del tono
Tone Gamma , Tono Gamma
Tone Mapping , Mappatura del tono
Tone Mapping (%) , Mappatura del tono (%)
Tone Mapping [Fast] , Mappatura del tono [Veloce]
Tone Mapping Fast , Mappatura del tono veloce
Tone Presets , Preselezioni di tono
Tone Threshold , Soglia di tono
Tones Range , Gamma di toni
Tones Smoothness , Toni morbidezza
Tones to Layers , Toni a strati
Top Layer , Strato superiore
Top Left , In alto a sinistra
Top Right , In alto a destra
Top-Left Vertex (%) , Vertice in alto a sinistra (%)
Top-Right Vertex (%) , Vertice in alto a destra (%)
Total Layers , Strati totali
Total Variation , Totale Variazione
Transfer Colors [Histogram] , Colori di trasferimento [Istogramma]
Transfer Colors [Patch-Based] , Colori di trasferimento [Patch-Based]
Transfer Colors [PCA] , Colori di trasferimento [PCA]
Transfer Colors [Variational] , Colori di trasferimento [variabile]
Transform , Trasformare
Transition Map , Mappa di transizione
Transition Shape , Forma di transizione
Transition Smoothness , Transizione scorrevolezza
Transmittance Map , Mappa della trasmissione
Transparency , Trasparenza
Transparent , Trasparente
Transparent Background , Sfondo trasparente
Transparent Black & White , Bianco e nero trasparente
Transparent Color , Colore trasparente
Transparent on Black , Trasparente su nero
Transparent on White , Trasparente su bianco
Transparent Skin , Pelle trasparente
Tree , Albero
Trent 18 , Trento 18
Triangle , Triangolo
Triangles , Triangoli
Triangles (Outline) , Triangoli (Schema)
Triangular Ha , Ha triangolare
Triangular Hb , Triangolare Hb
Triangular Va , Va triangolare
Triangular Vb , Vb triangolare
Tritanomaly , Tritanomalia
True Colors 8 , Colori veri 8
Trunk Color , Colore del tronco
Trunk Opacity (%) , Opacità del tronco (%)
Trunks , Tronchi
Tulips , Tulipani
Turbulence , Turbolenza
Turbulence 2 , Turbolenza 2
Turbulent Halftone , Mezzitoni turbolenti
Turkiest 42 , Il più turchese 42
Turn on Rotate and Twirl , Accendere Ruotare e roteare
Twisted Rays , Raggi contorti
Two Layers , Due strati
Two Threads , Due fili
Two-By-Two , Due per due
Type , Tipo
Type Snowflake , Tipo Fiocco di neve
Ultra Water , Ultra Acqua
UltraWarp++++ , UltraWarp+++++
Unaligned Images , Immagini non allineate
Undeniable , Indiscutibile
Undeniable 2 , Indiscutibile 2
Underwater , Sott'acqua
Undo Anaglyph , Annulla Anaglifo
Uniform , Uniforme
Unknown , Sconosciuto
Unsharp Mask , Maschera non tagliente
Up-Left , Su-Sinistra
Up-Right , A destra
Upper Layer Is the Top Layer for All Blends , Lo strato superiore è lo strato superiore per tutte le miscele
Upper Side Orientation , Orientamento lato superiore
Uppercase Letters , Lettere maiuscole
Upscale [DCCI2x] , In alto [DCCI2x]
Upscale [Diffusion] , Alta scala [Diffusione]
Upscale [Scale2x] , In alto [Scala2x]
Urban Cowboy , Cowboy Urbano
Use as Hue , Utilizzo come Tonalità
Use as Saturation , Uso come saturazione
Use Individual Depth Map , Usa la mappa di profondità individuale
Use Light , Utilizzare la luce
Use Maximum Tones , Utilizzare i toni massimi
Use Top Layer as a Priority Mask , Utilizzare lo strato superiore come maschera di priorità
User-Defined , Definito dall'utente
User-Defined (Bottom Layer) , Definito dall'utente (strato inferiore)
Uzbek Bukhara , Bukhara uzbeco
Uzbek Marriage , Matrimonio uzbeco
Uzbek Samarcande , Samarcande uzbeco
V Cutoff , V Taglio
Val Range , Gamma Val
Value , Valore
Value Action , Azione di valore
Value Blending , Miscelazione di valore
Value Bottom , Valore in basso
Value Correction , Correzione del valore
Value Factor , Fattore di valore
Value Normalization , Normalizzazione del valore
Value Offset , Offset di valore
Value Precision , Precisione del valore
Value Range , Gamma di valori
Value Scale , Scala del valore
Value Shift , Spostamento del valore
Value Smoothness , Valore Levigatezza
Value Top , Valore Top
Value Variance , Variazione del valore
Values , Valori
Van Gogh: Almond Blossom , Van Gogh: Mandorlo in fiore
Van Gogh: Irises , Van Gogh: Iris
Van Gogh: The Starry Night , Van Gogh: La notte stellata
Van Gogh: Wheat Field with Crows , Van Gogh: Campo di grano con i corvi
Variability , Variabilità
Variance , Varianza
Variation A , Variazione A
Variation B , Variazione B
Variation C , Variazione C
Vector Painting , Pittura vettoriale
Velocity , Velocità
Vertex Type , Tipo di testo
Vertical , Verticale
Vertical (%) , Verticale (%)
Vertical 1 Amount , Verticale 1 Importo
Vertical 1 Length , Verticale 1 Lunghezza
Vertical 2 Amount , Verticale 2 Importo
Vertical 2 Length , Verticale 2 Lunghezza
Vertical Amount , Importo verticale
Vertical Array , Array verticale
Vertical Blur , Sfocatura verticale
Vertical Length , Lunghezza verticale
Vertical Size (%) , Dimensione verticale (%)
Vertical Stripes , Strisce verticali
Vertical Tiles , Piastrelle verticali
Very Course 5 , Molto Corso 5
Very Fine , Molto bene
Very High , Molto alto
Very High (Even Slower) , Molto alto (anche più lento)
Very Warm Greenish , Molto caldo verdastro
Vibrant , Vibrante
Vibrant (alien) , Vibrante (alieno)
Vibrant (contrast) , Vibrante (contrasto)
Vibrant (crome-Ish) , Vibrante (crome-Ish)
Victory , Vittoria
View Outlines Only , Visualizza solo i contorni
View Resolution , Visualizza risoluzione
Vignette , Vignetta
Vignette Contrast , Vignetta Contrasto
Vignette Max Radius , Vignetta Raggio massimo
Vignette Min Radius , Vignetta meno raggio
Vignette Size , Dimensione della vignetta
Vignette Strength , Forza della vignetta
Vignette Strenth , Vignetta Strenth
Vintage (alt) , Annata (alt)
Vintage (brighter) , Vintage (più luminoso)
Vintage 163 , Annata 163
Vintage Chrome , Cromo d'epoca
Vintage Style , Stile vintage
Vintage Tone (%) , Tono d'epoca (%)
Vintage Warmth 1 , Calore d'annata 1
Virtual Landscape , Paesaggio virtuale
Visible Watermark , Filigrana visibile
Vivid Edges , Bordi vivi
Vivid Edges* , Bordi vivi*
Vivid Light , Luce vivida
Vivid Screen , Schermo vivido
Wall , Muro
Warm , Caldo
Warm (highlight) , Caldo (in evidenza)
Warm (yellow) , Caldo (giallo)
Warm Dark Contrasty , Caldo contrasto scuro
Warm Fade , Dissolvenza calda
Warm Fade 1 , Dissolvenza calda 1
Warm Neutral , Neutro caldo
Warm Sunset Red , Caldo rosso tramonto
Warm Teal , Alzavola calda
Warm Vintage , Vendemmia calda
Warp [Interactive] , Ordito [Interattivo]
Warp by Intensity , Ordito per intensità
Water , Acqua
Waterfall , Cascata
Wave , Onda
Wave(s) , Onda(e)
Wavelength , Lunghezza d'onda
Waves Amplitude , Ampiezza delle onde
Waves Smoothness , Onde Levigatezza
We'll See , Vedremo
Weave , Tessitura
Weird , Strano
Whirl Drawing , Disegno a gorgo
Whirls , Vortice
White , Bianco
White Dices , Dadi bianchi
White Layers , Strati bianchi
White Level , Livello del bianco
White on Black , Bianco su nero
White on Transparent , Bianco su trasparente
White on Transparent Black , Bianco su nero trasparente
White Point , Punto Bianco
White to Black , Da bianco a nero
White Walls , Pareti bianche
Whitening , Sbiancamento
Whiter Whites , Bianchi più bianchi
Whites , Bianchi
Width , Larghezza
Width (%) , Larghezza (%)
Wind , Vento
Winter Lighthouse , Faro d'inverno
Wipe , Pulire
Without , Senza
Wooden Gold 20 , Oro di legno 20
Work on Frameset , Lavoro su Frameset
Wrap , Avvolgere
X Center , X Centro
X-Angle , X-Angolo
X-Axis , Asse X
X-Axis Then Y-Axis , Asse X e poi asse Y
X-Centering (%) , X-Centraggio (%)
X-Coordinate , Coordinate X
X-Coordinate [Manual] , Coordinate X [Manuale]
X-Dispersion , Dispersione X
X-Factor (%) , Fattore X (%)
X-Ratio , Rapporto X
X-Resolution , Risoluzione X
X-Scale , Scala X
X-Size (px) , Dimensione X (px)
X-Variations , X-Variazioni
X/Y-Ratio , Rapporto X/Y
X1 (none) , X1 (nessuno)
XY Mirror , XY Specchio
XY-Axes , XY-Assi
XY-Coordinates (%) , Coordinate XY (%)
Y Center , Centro Y
Y-Angle , Angolo Y
Y-Axis , Asse Y
Y-Axis Then X-Axis , Asse Y e poi asse X
Y-Centering (%) , Centratura a Y (%)
Y-Coordinate , Coordinata Y
Y-Coordinate [Manual] , Coordinata Y [Manuale]
Y-Dispersion , Dispersione a Y
Y-Factor , Fattore Y
Y-Factor (%) , Fattore Y (%)
Y-Multiplier , Y-Moltiplicatore
Y-Ratio , Rapporto a Y
Y-Resolution , Risoluzione Y
Y-Scale , Scala Y
Y-Size , Dimensione a Y
Y-Size (px) , Dimensione Y (px)
Y-Variations , Y-Variazioni
YAG Effect , Effetto YAG
YCbCr (Chroma Only) , YCbCr (Solo croma)
YCbCr (Distinct) , YCbCr (Distinto)
YCbCr (Luma Only) , YCbCr (Solo Luma)
YCbCr (Mixed) , YCbCr (Misto)
YCbCr [Blue Chrominance] , YCbCr [Crominanza Blu]
YCbCr [Blue-Red Chrominances] , YCbCr [Cromanze Blu-Rosso]
YCbCr [Green Chrominance] , YCbCr [Crominanza verde]
YCbCr [Luminance] , YCbCr [Luminanza]
YCbCr [Red Chrominance] , YCbCr [Crominanza Rossa]
Yellow , Giallo
Yellow 55B , Giallo 55B
Yellow Factor , Fattore Giallo
Yellow Film 01 , Film giallo 01
Yellow Shift , Spostamento giallo
Yellow Smoothness , Levigatezza gialla
YES8 , SÌ8
YIQ [chromas] , YIQ [cromas]
You Can Do It , Si può fare
Z-Angle , Angolo Z
Z-Multiplier , Z-Moltiplicatore
Z-Scale , Scala Z
Z-Size , Dimensione Z
Z^^8 + 15*z^^4 - 1 , Z^^8 + 15*z^4 - 1
ZilverFX - B&W Solarization , ZilverFX - Solarizzazione in bianco e nero
ZilverFX - InfraRed , ZilverFX - Infrarosso
ZilverFX - Vintage B&W , ZilverFX - B/N d'epoca
Zone System , Sistema a zone
Zoom Center , Centro Zoom
Zoom Factor , Fattore di zoom
Zoom In , Ingrandisci
Zoom Out , Ingrandisci
