<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
Right Position , Rechte Position
Right Side Orientation , Orientierung auf der rechten Seite
Right Slope , Rechte Neigung
Right Stream Only , Nur rechter Stream
Rigid , Starr
Ripple , Welligkeit
Robert Cross 2 , Robert-Kreuz 2
Roddy (by Mahvin) , Roddy (von Mahvin)
Rodilius [Animated] , Rodilius [animiert]
Rollei Retro 80s , Rollei Retro 80er Jahre
Rooster , Hahn
Rotate , Rotieren
Rotate (muted) , Rotieren (stumm)
Rotate (vibrant) , Rotieren (lebhaft)
Rotate 180 Deg. , Um 180 Grad drehen.
Rotate 270 Deg. , Drehen Sie 270 Grad.
Rotate 90 Deg. , Um 90 Grad drehen.
Rotate Hue Bands , Farbtonbänder drehen
Rotate Tree , Baum drehen
Rotated , Gedreht
Rotated (crush) , Gedreht (zerkleinern)
Rotations , Rotationen
Round , Runde
Roundness , Rundheit
Row by Row , Reihe für Reihe
RYB [All] , RYB [Alle]
RYB [Blue] , RYB [Blau]
RYB [Red] , RYB [Rot]
RYB [Yellow] , RYB [Gelb]
S-Curve Contrast , S-Kurven-Kontrast
Salt and Pepper , Salz und Pfeffer
Same as Input , Dasselbe wie Eingabe
Same Axis , Gleiche Achse
Sample Image , Beispielbild
Sampling , Bemusterung
Sat Bottom , Sat Unten
Sat Range , Sat-Bereich
Saturated Blue , Gesättigtes Blau
Saturation , Sättigung
Saturation (%) , Sättigung (%)
Saturation Channel Gamma , Sättigungskanal-Gamma
Saturation Correction , Sättigungs-Korrektur
Saturation EQ , Sättigung EQ
Saturation Factor , Sättigungs-Faktor
Saturation Offset , Sättigungs-Offset
Saturation Shift , Sättigungs-Verschiebung
Saturation Smoothness , Sättigung Glätte
Save CLUT as .Cube or .Png File , CLUT als .Cube- oder .Png-Datei speichern
Save Gradient As , Farbverlauf speichern unter
Saving Private Damon , Private Damon retten
Scalar , Skalar
Scale , Skala
Scale (%) , Skala (%)
Scale 1 , Skala 1
Scale 2 , Skala 2
Scale CMYK , CMYK skalieren
Scale Factor , Skalenfaktor
Scale Output , Ausgabe skalieren
Scale Plasma , Schuppenplasma
Scale RGB , RGB skalieren
Scale Style to Fit Target Resolution , Skalierungsstil zur Anpassung an die Zielauflösung
Scale Variations , Skalen-Variationen
Scaled , Skaliert
Scales , Skalen
Scaling Factor , Skalierungsfaktor
Scene Selector , Szenen-Wahlschalter
Screen , Bildschirm
Screen Border , Bildschirmrand
Seamcarve , Nahtschnitzerei
Seamless Deco , Nahtlose Dekoration
Seamless Turbulence , Nahtlose Turbulenz
Secant , Sekante
Second Color , Zweite Farbe
Second Offset , Zweiter Versatz
Second Radius , Zweiter Radius
Second Size , Zweite Größe
Secondary Color , Sekundäre Farbe
Secondary Factor , Sekundärer Faktor
Secondary Gamma , Sekundäres Gamma
Secondary Radius , Sekundärer Radius
Secondary Shift , Sekundäre Schicht
Secondary Twist , Sekundäre Drehung
Sectors , Sektoren
Seed , Saatgut
Segment Max Length (px) , Maximale Länge des Segments (px)
Segmentation , Segmentierung
Segmentation Edge Threshold , Segmentierungskanten-Schwelle
Segmentation Smoothness , Segmentierungs-Glätte
Segments , Segmente
Segments Strength , Stärke der Segmente
Select By , Auswählen nach
Select-Replace Color , Wählen-Ersetzen-Farbe
Selected Color , Ausgewählte Farbe
Selected Colors , Ausgewählte Farben
Selected Frame , Ausgewählter Rahmen
Selected Mask , Ausgewählte Maske
Selection , Auswahl
Selective Desaturation , Selektive Entsättigung
Selective Gaussian , Selektiver Gauß
Self , Selbst
Self Glitching , Selbstglitching
Self Image , Selbstbild
Sensitivity , Empfindlichkeit
Sequence X4 , Sequenz X4
Sequence X6 , Sequenz X6
Sequence X8 , Sequenz X8
Serenity , Gelassenheit
Serial Number , Seriennummer
Serpent , Schlange
Set Aspect Only , Nur Aspekt einstellen
Set Frame Format , Rahmenformat festlegen
Seven Layers , Sieben Schichten
Seventies Magazine , Zeitschrift der siebziger Jahre
Shade , Farbton
Shade Angle , Schatten-Winkel
Shade Back to First Color , Farbton Zurück zur ersten Farbe
Shade Bobs , Schatten Bobs
Shade Strength , Farbton-Stärke
Shading , Schattierung
Shading (%) , Schattierung (%)
Shadow , Schatten
Shadow Contrast , Schatten-Kontrast
Shadow Intensity , Schatten-Intensität
Shadow King 39 , Schattenkönig 39
Shadow Offset X , Schattenversatz X
Shadow Offset Y , Schattenversatz Y
Shadow Patch , Schatten-Patch
Shadow Size , Größe des Schattens
Shadow Smoothness , Schattenglätte
Shadows , Schatten
Shadows Abstraction , Schatten-Abstraktion
Shadows Brightness , Schatten-Helligkeit
Shadows Color Intensity , Schatten Farbintensität
Shadows Hue Shift , Schatten-Farbverschiebung
Shadows Lightness , Schatten-Helligkeit
Shadows Selection , Auswahl der Schatten
Shadows Threshold , Schatten-Schwellenwert
Shadows Zone , Schatten-Zone
Shamoon Abbasi (25) , Schamun Abbasi (25)
Shape , Form
Shape Area Max , Form Fläche Max
Shape Area Max0 , Formfläche Max0
Shape Area Min , Form Bereich Min
Shape Area Min0 , Formfläche Min0
Shape Average , Form Durchschnitt
Shape Average0 , Form Durchschnitt0
Shape Max , Form Max
Shape Max0 , Form Max0
Shape Median , Form Median
Shape Median0 , Form Median0
Shape Min , Form Min
Shape Min0 , Form Min0
Shapeism , Shapeismus
Shapes , Formen
Sharp Abstract , Scharfer Abstrakter
Sharpen , Schärfen
Sharpen [Deblur] , Schärfen [Entgraten]
Sharpen [Gold-Meinel] , Schärfen [Gold-Meinel]
Sharpen [Gradient] , Schärfen [Gradient]
Sharpen [Hessian] , Schärfen [hessisch]
Sharpen [Inverse Diffusion] , Schärfen [Inverse Diffusion]
Sharpen [Multiscale] , Schärfen [Multiskala]
Sharpen [Octave Sharpening] , Schärfen [Oktav-Schärfung]
Sharpen [Richardson-Lucy] , Schärfen [Richardson-Lucy]
Sharpen [Shock Filters] , Schärfen [Stoßfilter]
Sharpen [Texture] , Schärfen [Textur]
Sharpen [Tones] , Schärfen [Töne]
Sharpen [Unsharp Mask] , Schärfen [Unscharfe Maske]
Sharpen [Whiten] , Schärfen [Weiß]
Sharpen Details in Preview , Details in der Vorschau schärfen
Sharpen Edges Only , Nur Kanten schärfen
Sharpen Object , Objekt schärfen
Sharpen Radius , Radius schärfen
Sharpen Shades , Schärfen von Schattierungen
Sharpened Areas Only , Nur geschärfte Bereiche
Sharpening , Schärfen
Sharpening Layer , Schärfungsschicht
Sharpening Radius , Schärf-Radius
Sharpening Strength , Schärfen der Stärke
Sharpening Type , Schärfender Typ
Sharpest , Schärfste
Sharpness , Schärfe
Shift Linear Interpolation? , Lineare Verschiebungsinterpolation?
Shift Point , Verschiebungspunkt
Shift X , Verschiebung X
Shift Y , Verschiebung Y
Shininess , Glanz
Shivers , Schüttelfrost
Shock Waves , Schockwellen
Shopping Cart , Der Warenkorb
Show Both Poles , Beide Polen anzeigen
Show Difference , Unterschied anzeigen
Show Frame , Frame anzeigen
Show Grid , Gitter anzeigen
Show Watershed , Wassereinzugsgebiet anzeigen
Shrink , Schrumpfen
Shuffle Pieces , Mischen von Stücken
Side by Side , Seite an Seite
Sierpinksi Design , Sierpinksi-Entwurf
Sierpinski Triangle , Sierpinski-Dreieck
Silver , Silber
Similarity Space , Ähnlichkeitsraum
Simple Local Contrast , Einfacher lokaler Kontrast
Simple Noise Canvas , Einfache Lärm-Leinwand
Simulate Film , Film simulieren
Sine , Sinus
Sine+ , Sinus+
Single (Merged) , Einzeln (verschmolzen)
Single Custom Depth Map , Einzelne benutzerdefinierte Tiefenkarte
Single Image Stereogram , Einzelbild-Stereogramm
Single Layer , Einzelne Schicht
Single Opaque Shapes Over Transp. BG , Einzelne opake Formen über Transp. BG
Six Layers , Sechs Schichten
Sixteen Threads , Sechzehn Fäden
Size , Größe
Size (%) , Größe (%)
Size for Bright Tones , Größe für helle Töne
Size for Dark Tones , Größe für dunkle Töne
Size of Frame Numbers (%) , Größe der Rahmennummern (%)
Size Variance , Größenabweichung
Size-1 , Größe-1
Size-2 , Größe 2
Size-3 , Größe 3
Skeleton , Skelett
Sketch , Skizze
Skin Estimation , Schätzung der Haut
Skin Mask , Hautmaske
Skin Tone Colors , Hautton-Farben
Skin Tone Mask , Hautton-Maske
Skin Tone Protection , Hautton-Schutz
Skip All Other Steps , Alle anderen Schritte überspringen
Skip Finest Scales , Feinste Skalen überspringen
Skip Others Steps , Andere Schritte überspringen
Skip This Step , Diesen Schritt überspringen
Skip to Use the Mask to Boost , Überspringen, um die Maske zum Verstärken zu verwenden
Slice Luminosity , Schicht-Leuchtkraft
Slide [Color] (26) , Dia [Farbe] (26)
Slow &#40;Accurate&#41; , Langsam (Akkurat)
Slow Recovery , Langsame Erholung
Small , Klein
Small (Faster) , Klein (Schneller)
SmallHD Movie Look (7) , SmallHD-Film-Look (7)
Smart , Clever
Smart Contrast , Intelligenter Kontrast
Smart Threshold , Intelligente Schwelle
Smooth , Glatt
Smooth [Anisotropic] , Glatt [Anisotrop]
Smooth [Antialias] , Glatt [Antialias]
Smooth [Bilateral] , Glatt [Bilateral]
Smooth [Block PCA] , Glätten [Block PCA]
Smooth [Diffusion] , Glatt [Diffusion]
Smooth [Geometric-Median] , Glatt [Geometrisch-medianisch]
Smooth [Guided] , Glatt [Geführt]
Smooth [IUWT] , Glatt [IUWT]
Smooth [Mean-Curvature] , Glatt [Mittlere Krümmung]
Smooth [Median] , Glatt [Median]
Smooth [NL-Means] , Glatt [NL-Mittel]
Smooth [Patch-Based] , Glatt [Patch-basiert]
Smooth [Patch-PCA] , Glatt [Patch-PCA]
Smooth [Perona-Malik] , Glatt [Perona-Malik]
Smooth [Selective Gaussian] , Glatt [Selektives Gaußsches]
Smooth [Skin] , Glatt [Haut]
Smooth [Thin Brush] , Glatt [Dünne Bürste]
Smooth [Total Variation] , Glatt [Gesamtvariation]
Smooth [Wavelets] , Glatt [Wavelets]
Smooth [Wiener] , Glatt [Wiener]
Smooth Abstract , Glatter Abstrakt
Smooth Amount , Glatter Betrag
Smooth Clear , Glatt klar
Smooth Colors , Glatte Farben
Smooth Crome-Ish , Glattes Chrom-Isch
Smooth Dark , Glatt dunkel
Smooth Fade , Glattes Ausblenden
Smooth Green Orange , Glattes Grün Orange
Smooth Light , Sanftes Licht
Smooth Looping , Glatte Schleife
Smooth Only , Nur glatt
Smooth Sailing , Reibungsloses Segeln
Smooth Teal Orange , Glatte Krickente Orange
Smoothen Background Reconstruction , Hintergrund-Rekonstruktion glätten
Smoother Edge Protection , Glatterer Kantenschutz
Smoother Sharpness , Geschmeidigere Schärfe
Smoother Softness , Geschmeidigere Weichheit
Smoothing , Glätten
Smoothing Style , Glättender Stil
Smoothing Type , Glättungstyp
Smoothness , Glätte
Smoothness (%) , Glätte (%)
Smoothness (px) , Glätte (px)
Smoothness Shadow , Glattheit Schatten
Smoothness Type , Glätte-Typ
Snowflake , Schneeflocke
Snowflake 2 , Schneeflocke 2
Snowflake Recursion , Schneeflocken-Rekursion
Soft , Weich
Soft  Light , Weiches Licht
Soft Burn , Weiche Verbrennung
Soft Dodge , Weiches Ausweichen
Soft Fade , Weiches Überblenden
Soft Glow , Sanftes Glühen
Soft Glow [Animated] , Sanftes Glühen [animiert]
Soft Light , Weiches Licht
Soft Random Shades , Weiche Zufallsschattierungen
Soft Warming , Sanfte Erwärmung
Soften , Aufweichen
Soften All Channels , Alle Kanäle aufweichen
Soften Guide , Anleitung zum Weichmachen
Softlight , Weiches Licht
Solarize , Solarisieren
Solarize Color , Farbe solarisieren
Solarized Color2 , Solarisierte Farbe2
Solidify , Verfestigen
Solve Maze , Labyrinth lösen
Some , Einige
Some Blue , Etwas Blau
Some Cyan , Etwas Cyan
Some Green , Einige Grüne
Some Key , Einige Schlüssel
Some Magenta , Etwas Magenta
Some Red , Etwas Rot
Some Yellow , Etwas Gelb
Sort Colors , Farben sortieren
Sorting Criterion , Sortierkriterium
Source (%) , Quelle (%)
Source Color #1 , Quellfarbe #1
Source Color #10 , Quellfarbe #10
Source Color #11 , Quellfarbe #11
Source Color #12 , Quellfarbe #12
Source Color #13 , Quellfarbe #13
Source Color #14 , Quellfarbe #14
Source Color #15 , Quellfarbe #15
Source Color #16 , Quellfarbe #16
Source Color #17 , Quellfarbe #17
Source Color #18 , Quellfarbe #18
Source Color #19 , Quellfarbe #19
Source Color #2 , Quellfarbe #2
Source Color #20 , Quellfarbe #20
Source Color #21 , Quellfarbe #21
Source Color #22 , Quellfarbe #22
Source Color #23 , Quellfarbe #23
Source Color #24 , Quellfarbe #24
Source Color #3 , Quellfarbe #3
Source Color #4 , Quellfarbe #4
Source Color #5 , Quellfarbe #5
Source Color #6 , Quellfarbe #6
Source Color #7 , Quellfarbe #7
Source Color #8 , Quellfarbe #8
Source Color #9 , Quellfarbe #9
Source X-Tiles , Quelle X-Tiles
Source Y-Tiles , Quelle Y-Kacheln
Space , Weltraum
Spacing , Abstände
Span , Spanne
Spatial Bandwidth , Räumliche Bandbreite
Spatial Metric , Räumliche Metrik
Spatial Overlap , Räumliche Überlappung
Spatial Precision , Räumliche Präzision
Spatial Radius , Räumlicher Radius
Spatial Regularization , Räumliche Regularisierung
Spatial Sampling , Räumliche Probenahme
Spatial Scale , Räumliche Skala
Spatial Tolerance , Räumliche Toleranz
Spatial Transition , Räumlicher Übergang
Spatial Variance , Räumliche Varianz
Special Effects , Besondere Effekte
Specific Saturation , Spezifische Sättigung
Specify Different Output Size , Unterschiedliche Ausgabegröße angeben
Specify HaldCLUT As , HaldCLUT angeben als
Specular , Spezielles
Specular (%) , Spiegel (%)
Specular Centering , Spiegelzentrierung
Specular Intensity , Spiegel-Intensität
Specular Light , Spiegelndes Licht
Specular Lightness , Spiegelnde Helligkeit
Specular Shininess , Glänzender Glanz
Specular Size , Spezielle Größe
Speed , Geschwindigkeit
Sphere , Bereich
Spherize , Sphärisieren
Spiral , Spirale
Spiral RGB , Spirale RGB
Spline Editor , Spline-Editor
Spline Max Angle (deg) , Spline-Max-Winkel (Grad)
Spline Max Length (px) , Maximale Spline-Länge (px)
Spline Roundness , Spline-Rundheit
Split Base and Detail Output , Geteilte Basis- und Detailausgabe
Split Brightness / Colors , Geteilte Helligkeit/Farben
Split Details [Alpha] , Details aufteilen [Alpha]
Split Details [Gaussian] , Details aufspalten [Gauß]
Split Details [Wavelets] , Details aufspalten [Wavelets]
Sponge , Schwamm
Spread , Verbreiten
Spread Amount , Spread-Betrag
Spread Angles , Spreizwinkel
Spread Noise Amount , Ausbreitung Lärmpegel
Spreading , Verbreitung
Spring Morning , Frühlingsmorgen
Sprocket 231 , Zahnkranz 231
Spy 29 , Spion 29
Square , Quadratisch
Square (Inv.) , Quadrat (Inv.)
Square 1 , Quadrat 1
Square 2 , Quadrat 2
Square to Circle , Quadrat zu Kreis
Squared-Euclidean , Quadratisch-euklidisch
Squares , Quadrate
Squares (Outline) , Quadrate (Umriss)
SRGB Conversion , SRGB-Umwandlung
Stabilizer , Stabilisator
Stained Glass , Buntes Glas
Stamp , Briefmarke
Standard (256) , Norm (256)
Standard [No Scan] , Standard [Kein Scan]
Standard Deviation , Standard-Abweichung
Star , Stern
Star: -5*(z^3/3-Z/4)/2 , Stern: -5*(z^3/3-Z/4)/2
Stars , Sterne
Stars (Outline) , Sterne (Umriss)
Start Angle , Startwinkel
Start Color , Startfarbe
Start Frame Number , Start-Rahmennummer
Start of Mid-Tones , Beginn der Mitteltöne
Starting Angle , Startwinkel
Starting Color , Startfarbe
Starting Feathering , Beginnende Befiederung
Starting Frame , Startbild
Starting Level , Ausgangsniveau
Starting Pattern , Start-Muster
Starting Point , Ausgangspunkt
Starting Point (%) , Ausgangspunkt (%)
Starting Scale (%) , Ausgangs-Skala (%)
Starting Value , Anfangswert
Stationary Frames , Stationäre Rahmen
Std Angle (deg.) , Std. Winkel (Grad)
Std Branching , Std-Verzweigung
Std Length Factor (%) , Std. Längenfaktor (%)
Std Thickness Factor (%) , Std-Dicke-Faktor (%)
Stencil , Schablone
Stencil Type , Schablonentyp
Step , Schritt
Step (%) , Schritt (%)
Steps , Schritte
Stereo Image , Stereo-Bild
Stereo Window Position , Stereo-Fensterposition
Stereographic Projection , Stereographische Projektion
Stereoscopic Image Alignment , Stereoskopische Bildausrichtung
Stereoscopic Window Position , Position des stereoskopischen Fensters
Straight , Gerade
Strands , Stränge
Streak , Streifen
Street , Straße
Strength , Stärke
Strength (%) , Stärke (%)
Strength Effect , Kraft-Wirkung
Strength Highlights , Stärke-Highlights
Strength Midtones , Stärke Mitteltöne
Strength Shadows , Stärke Schatten
Stretch , Dehnen
Stretch Colors , Stretch-Farben
Stretch Contrast , Dehnungskontrast
Stretch Factor , Dehnungsfaktor
Strip , Streifen
Stripe Orientation , Streifen-Orientierung
Stroke , Schlaganfall
Stroke Angle , Hubwinkel
Stroke Length , Hublänge
Stroke Strength , Schlaganfall-Stärke
Strong , Stark
Structure Smoothness , Glattheit der Struktur
Studio , Atelier
Style , Stil
Style Variations , Stil-Variationen
Stylize , stilisieren
Subdivisions , Unterdivisionen
Subpixel Interpolation , Subpixel-Interpolation
Subpixel Level , Subpixel-Ebene
Subsampling (%) , Unterstichprobe (%)
Subtle Blue , Zartes Blau
Subtle Green , Subtiles Grün
Subtle Yellow , Subtiles Gelb
Subtract , Subtrahieren
Subtractive , Subtraktiv
Summer , Sommer
Summer (alt) , Sommer (alt)
Sunny , Sonnig
Sunny (alt) , Sonnig (alt)
Sunny (rich) , Sonnig (reich)
Sunny (warm) , Sonnig (warm)
Super Warm (rich) , Super Warm (reichhaltig)
Super-Pixels , Super-Pixel
Superformula , Superformel
Superimpose with Original? , Mit Original überlagern?
Surface Disturbance , Oberflächenstörung
Surface Disturbance Multiplier , Oberflächenstörungsmultiplikator
Swan , Schwan
Swap , Tausch
Swap Colors , Farben tauschen
Swap Layers , Ebenen austauschen
Swap Radius / Angle , Radius/Winkel vertauschen
Swap Sides , Seiten tauschen
Sweet Bubblegum , Süßer Bubblegum
Sweet Gelatto , Süßes Gelatto
Symmetric 2D Shape , Symmetrische 2D-Form
Symmetry , Symmetrie
Symmetry Sides , Symmetrie-Seiten
Synthesis Scale , Synthese-Skala
Tangent Radius , Tangentialer Radius
Target Color #1 , Zielfarbe #1
Target Color #10 , Zielfarbe #10
Target Color #11 , Zielfarbe #11
Target Color #12 , Zielfarbe #12
Target Color #13 , Zielfarbe #13
Target Color #14 , Zielfarbe #14
Target Color #15 , Zielfarbe #15
Target Color #16 , Zielfarbe #16
Target Color #17 , Zielfarbe #17
Target Color #18 , Zielfarbe #18
Target Color #19 , Zielfarbe #19
Target Color #2 , Zielfarbe #2
Target Color #20 , Zielfarbe #20
Target Color #21 , Zielfarbe #21
Target Color #22 , Zielfarbe #22
Target Color #23 , Zielfarbe #23
Target Color #24 , Zielfarbe #24
Target Color #3 , Zielfarbe #3
Target Color #4 , Zielfarbe #4
Target Color #5 , Zielfarbe #5
Target Color #6 , Zielfarbe #6
Target Color #7 , Zielfarbe #7
Target Color #8 , Zielfarbe #8
Target Color #9 , Zielfarbe #9
Teal Fade , Krickende Krickente
Teal Magenta Gold , Krickente Magenta Gold
Teal Moonlight , Tee-Mondlicht
Teal Orange , Krickentee Orange
Teal Orange 1 , Krickentee Orange 1
Teal Orange 2 , Krickentee Orange 2
Teal Orange 3 , Krickentee Orange 3
TechnicalFX - Backlight Filter , TechnicalFX - Filter für Hintergrundbeleuchtung
Temperature Balance , Temperatur-Gleichgewicht
Ten Layers , Zehn Schichten
Tends to Be Square , Neigt zur Quadratur
Tension Green 1 , Spannung Grün 1
Tension Green 2 , Spannung Grün 2
Tension Green 3 , Spannung Grün 3
Tension Green 4 , Spannung Grün 4
Tensor Smoothness , Tensor-Glätte
Tertiary Factor , Tertiärer Faktor
Tertiary Gamma , Tertiäres Gamma
Tertiary Shift , Tertiäre Schicht
Tertiary Twist , Tertiäre Drehung
Texture , Beschaffenheit
Texture Enhance , Textur verbessern
Textured Glass , Strukturiertes Glas
The Game of Life , Das Spiel des Lebens
The Matrices , Die Matrizen
Thickness , Dicke
Thickness (%) , Dicke (%)
Thickness (px) , Dicke (px)
Thickness Factor , Dicke-Faktor
Thin Edges , Dünne Ränder
Thin Separators , Dünne Separatoren
Thinness , Schlankheit
Thinning , Ausdünnung
Thinning (Slow) , Ausdünnung (langsam)
Three Layers , Drei Schichten
Threshold , Schwelle
Threshold (%) , Schwellenwert (%)
Threshold Etch , Schwellenwert-Ätzung
Threshold High , Schwelle Hoch
Threshold Low , Schwellenwert Niedrig
Threshold Max , Schwelle Max
Threshold Mid , Schwelle Mitte
Threshold On , Schwelle Ein
Thriller 2 , Krimi 2
Thumbnail Size , Größe der Miniaturansicht
Tikhonov , Tichonow
Tile Poles , Fliesenpfähle
Tile Size , Kachel-Größe
Tileable Rotation , Kachelbare Rotation
Tiled Isolation , Gekachelte Isolation
Tiled Normalization , Kachel-Normalisierung
Tiled Parameterization , Gekachelte Parametrisierung
Tiled Preview , Gekachelte Vorschau
Tiled Random Shifts , Gekachelte Zufallsverschiebungen
Tiled Rotation , Kachel-Rotation
Tiles , Kacheln
Tiles to Layers , Kacheln zu Ebenen
Tilt , Kippen Sie
Time , Zeit
Time Step , Zeitschritt
Timed Image , Zeitgesteuertes Bild
Tiny , Winzig
To Equirectangular , Zu gleichschenklig
To Nadir / Zenith , Nach Nadir / Zenith
Toasted Garden , Getoasteter Garten
Toes , Zehen
Toggle to View Base Image , Umschalten zur Ansicht des Basisbildes
Tolerance , Toleranz
Tolerance to Gaps , Toleranz gegenüber Lücken
Tonal Bandwidth , Ton-Bandbreite
Tone Blur , Unscharfe Töne
Tone Enhance , Tonwertverbesserung
Tone Gamma , Ton-Gamma
Tone Mapping , Tone-Mapping
Tone Mapping (%) , Tone-Mapping (%)
Tone Mapping [Fast] , Tone-Mapping [Schnell]
Tone Mapping Fast , Tone-Mapping schnell
Tone Mapping Soft , Tone-Mapping weich
Tone Presets , Ton-Voreinstellungen
Tone Threshold , Ton-Schwellenwert
Tones Range , Tone-Bereich
Tones Smoothness , Töne Glätte
Tones to Layers , Töne zu Ebenen
Top , Nach oben
Top Layer , Obere Schicht
Top Left , Oben links
Top Right , Oben rechts
Top-Left Vertex (%) , Scheitelpunkt oben links (%)
Top-Right Vertex (%) , Scheitelpunkt oben rechts (%)
Total Layers , Total Schichten
Total Variation , Gesamte Variation
Transfer Colors [Histogram] , Farben übertragen [Histogramm]
Transfer Colors [Patch-Based] , Farben übertragen [Patch-basiert]
Transfer Colors [PCA] , Farben übertragen [PCA]
Transfer Colors [Variational] , Farben übertragen [Variational]
Transform , Verwandeln
Transition Map , Übergangs-Karte
Transition Shape , Form des Übergangs
Transition Smoothness , Glattheit des Übergangs
Transmittance Map , Übertragungskarte
Transparency , Transparenz
Transparent , Transparente
Transparent Background , Transparenter Hintergrund
Transparent Black & White , Transparentes Schwarz-Weiß
Transparent Color , Transparente Farbe
Transparent on Black , Transparent auf Schwarz
Transparent on White , Transparent auf Weiß
Transparent Skin , Transparente Haut
Tree , Baum
Trent 18 , Trient 18
Triangle , Dreieck
Triangles , Dreiecke
Triangles (Outline) , Dreiecke (Umriss)
Triangular Ha , Dreieckig Ha
Triangular Hb , Dreieckig Hb
Triangular Va , Dreieckig Va
Triangular Vb , Dreieckig Vb
Tritanomaly , Tritanomalie
Tritanopia , Tritanopie
True Colors 8 , Wahre Farben 8
Trunk Color , Farbe des Stammes
Trunk Opacity (%) , Trübung des Rumpfes (%)
Trunks , Stämme
Tulips , Tulpen
Turbulence , Turbulenzen
Turbulence 2 , Turbulenz 2
Turbulent Halftone , Turbulenter Halbton
Turkiest 42 , Türkischste 42
Turn on Rotate and Twirl , Drehen und Drehen einschalten
Twirl , Wirbeln Sie
Twisted Rays , Verdrehte Strahlen
Two Layers , Zwei Schichten
Two Threads , Zwei Fäden
Two-By-Two , Zwei-zu-Zwei
Type , Geben Sie  ein.
Type Snowflake , Typ Schneeflocke
Ultra Water , Ultra Wasser
Unaligned Images , Nicht ausgerichtete Bilder
Undeniable , Unbestreitbar
Undeniable 2 , Unbestreitbar 2
Underwater , Unterwasser
Undo Anaglyph , Anaglyphen rückgängig machen
Unknown , Unbekannt
Unquantize [JPEG Smooth] , Unquantisieren [JPEG glätten]
Unsharp Mask , Unscharfe Maske
Unstrip , Entstrippen
Untwist , Aufdrehen
Up-Left , Links oben
Up-Right , Aufwärts-Rechts
Upper Layer Is the Top Layer for All Blends , Obere Schicht ist die oberste Schicht für alle Mischungen
Upper Side Orientation , Orientierung auf der Oberseite
Uppercase Letters , Großbuchstaben
Upscale [DCCI2x] , Hochskala [DCCI2x]
Upscale [Diffusion] , Hochskala [Diffusion]
Upscale [Scale2x] , Hochskalierung [Skalierung2x]
Urban Cowboy , Städtischer Cowboy
Use as Hue , Als Farbton verwenden
Use as Saturation , Verwendung als Sättigung
Use Individual Depth Map , Individuelle Tiefenkarte verwenden
Use Light , Licht verwenden
Use Maximum Tones , Maximale Töne verwenden
Use Top Layer as a Priority Mask , Obere Ebene als Prioritätsmaske verwenden
User-Defined , Benutzerdefiniert
User-Defined (Bottom Layer) , Benutzerdefiniert (unterste Schicht)
Uzbek Bukhara , Usbekisch Buchara
Uzbek Marriage , Usbekisch Heirat
Uzbek Samarcande , Usbekisch-Samarcande
V Cutoff , V-Abschaltung
Val Range , Val-Bereich
Value , Wert
Value Action , Wert-Aktion
Value Blending , Wert-Mischung
Value Bottom , Wert Unten
Value Correction , Wert-Korrektur
Value Factor , Wert-Faktor
Value Normalization , Wert-Normalisierung
Value Offset , Wert-Offset
Value Precision , Wert-Präzision
Value Range , Wertebereich
Value Scale , Werteskala
Value Shift , Wert-Verschiebung
Value Smoothness , Wert Glätte
Value Top , Wert Oben
Value Variance , Wert-Varianz
Values , Werte
Van Gogh: Almond Blossom , Van Gogh: Mandelblüte
Van Gogh: Irises , Van Gogh: Schwertlilien
Van Gogh: The Starry Night , Van Gogh: Die sternenklare Nacht
Van Gogh: Wheat Field with Crows , Van Gogh: Weizenfeld mit Krähen
Variability , Variabilität
Variance , Abweichung
Variation A , Variante A
Variation B , Variante B
Variation C , Variante C
Vector Painting , Vektor-Malerei
Velocity , Geschwindigkeit
Velvetia , Velvetien
Vertex Type , Vertex-Typ
Vertical , Vertikal
Vertical (%) , Vertikal (%)
Vertical 1 Amount , Vertikal 1 Betrag
Vertical 1 Length , Vertikal 1 Länge
Vertical 2 Amount , Vertikal 2 Betrag
Vertical 2 Length , Vertikal 2 Länge
Vertical Amount , Vertikaler Betrag
Vertical Array , Vertikale Anordnung
Vertical Blur , Vertikale Unschärfe
Vertical Length , Vertikale Länge
Vertical Size (%) , Vertikale Größe (%)
Vertical Stripes , Vertikale Streifen
Vertical Tiles , Vertikale Kacheln
Very Course 5 , Sehr Kurs 5
Very Fine , Sehr fein
Very High , Sehr hoch
Very High (Even Slower) , Sehr hoch (noch langsamer)
Very Warm Greenish , Sehr warm grünlich
Vibrant , Lebendig
Vibrant (alien) , Lebendig (Ausländer)
Vibrant (contrast) , Lebendig (Kontrast)
Vibrant (crome-Ish) , Lebendig (Crome-Ish)
Victory , Sieg
View Outlines Only , Nur Umrisse anzeigen
View Resolution , Auflösung anzeigen
Vignette Contrast , Vignetten-Kontrast
Vignette Size , Größe der Vignette
Vignette Strength , Stärke der Vignette
Vignette Strenth , Vignette Stärke
Vintage , Jahrgang
Vintage (alt) , Jahrgang (alt)
Vintage (brighter) , Jahrgang (heller)
Vintage 163 , Jahrgang 163
Vintage Chrome , Vintage-Chrom
Vintage Style , Vintage-Stil
Vintage Tone (%) , Vintage-Ton (%)
Vintage Warmth 1 , Vintage-Wärme 1
Virtual Landscape , Virtuelle Landschaft
