<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Color 2 (Up/Right Corner) , Цвет 2 (вверх/вправо)
Color 3 , Цвет 3
Color 3 (Bottom/Left Corner) , Цвет 3 (нижний/левый угол)
Color 4 , Цвет 4
Color 4 (Bottom/Right Corner) , Цвет 4 (нижний/правый угол)
Color A , Цвет А
Color Abstraction Opacity , Цветовая абстракция Непрозрачность
Color Abstraction Paint , Цветная абстракция Краска
Color B , Цвет В
Color Balance , Цветовой баланс
Color Basis , Цветовая основа
Color Blending , Цветовое смешивание
Color Blindness , Цветная слепота
Color Blue-Yellow , Цвет сине-желтый
Color Boost , Цветной всплеск
Color Burn , Цветной ожог
Color C , Цвет С
Color Channel  Smoothing , Сглаживание цветовых каналов
Color Channels , Цветовые каналы
Color D , Цвет D
Color Dispersion , Цветовое рассеивание
Color Doping , Цветной допинг
Color E , Цвет Е
Color Effect Mode , Режим цветового эффекта
Color F , Цвет F
Color G , Цвет G
Color Gamma , Цветовая гамма
Color Grading , Цветовая классификация
Color Green-Magenta , Цвет зеленый-маджента
Color Highlights , Цветовые акценты
Color Image , Цветное изображение
Color Intensity , Интенсивность цвета
Color Mask , Цветная маска
Color Mask [Interactive] , Цветная маска [интерактивная]
Color Median , Цвет Медианы
Color Metric , Цветовая метрика
Color Midtones , Цветные полутоны
Color Mode , Цветовой режим
Color Model , Цвет Модель
Color Negative , Отрицательный цвет
Color on White , Цвет на белом
Color Overall Effect , Общий цветовой эффект
Color Presets , Цветовые настройки
Color Quantization , Количественное определение цвета
Color Rendering , Цветовое оформление
Color Shading (%) , Цветовое затенение (%)
Color Shadows , Цветовые тени
Color Smoothness , Гладкость цвета
Color Space , Цветовое пространство
Color Spots + Extrapolated Colors + Lineart , Цветовые пятна + экстраполированные цвета + линейный рисунок
Color Spots + Lineart , Цветовые пятна + линейный рисунок
Color Strength , Прочность цвета
Color Temperature , Цветовая температура
Color Tolerance , Цветовая толерантность
Color Variation [Random -1] , Вариация цвета [Случайный -1]
Colored Geometry , цветная геометрия
Colored Grain , Цветное зерно
Colored Lineart , Цветная линейка
Colored on Black , Окрашен в чёрный цвет
Colored on Transparent , Цветной на прозрачном
Colored Outline , Цветной набросок
Colored Pencils , Цветные карандаши
Colored Regions , Цветные регионы
Colorful , Красочный
Colorful 0209 , Красочный 0209
Colorful Blobs , Красочные Капли
Coloring , Раскраска
Colorize [Interactive] , Окрасить [интерактивный]
Colorize [Photographs] , Окрасить [Фотографии]
Colorize [with Colormap] , Окрасить [с помощью Colormap]
Colorize Lineart [Auto-Fill] , Окрасить линейную линию [Автозаполнение].
Colorize Lineart [Propagation] , Окрасить линейную линию [Распространение]
Colorize Lineart [Smart Coloring] , Окрасить линейный [Умная раскраска]
Colorize Mode , Режим окрашивания
Colorized Image (1 Layer) , Цветное изображение (1 слой)
Colormap Type , Цветовое изображение
Colors , Цвета
Colors A , Цвета А
Colors B , Цвета В
Colors Only , Только цвета
Colors Only (1 Layer) , Только цвета (1 слой)
Colors to Layers , Цвета на слои
Colorspace , Цветовое пространство
Colour , Цвет
Colour Channels , Цветовые каналы
Colour Model , Цветная модель
Colour Smoothing , Сглаживание цвета
Colour Space Mode , Цветовой режим
Column by Column , Колонки за колонками
Comic Style , Комический стиль
Comix Colors , Смешивание цветов
Components , Компоненты
Composed Layers , Составные слои
Compress Highlights , Основные моменты компресса
Compression Blur , Компрессионное размытие
Compression Filter , Компрессионный фильтр
Computation Mode , Режим вычисления
Cone , Конус
Conflict 01 , Конфликт 01
Conformal Maps , Конформные карты
Connect-Four , Коннект-Четыре
Connectivity , Связь
Connectors Centering , Разъемы Центрирование
Connectors Variability , Разъемы Переменчивость
Constrain Image Size , Размер изображения деформации
Constrain Values , Значения деформации
Constrained Sharpen , Ограниченный Шарпен
Constraint Radius , Радиус ограничения
Continuous Droste , Непрерывная дроста
Contour Coherence , Согласованность контура
Contour Detection (%) , Обнаружение контура (%)
Contour Normalization , Нормализация контура
Contour Precision , Точность контура
Contour Threshold , Порог контура
Contour Threshold (%) , Порог контура (%)
Contours , Контуры
Contours + Flocon/Snowflake , Контуры + флокон/снежинка
Contours Recursion , Контуры Рекурсия
Contrail 35 , Контраил 35
Contrast , Контраст
Contrast (%) , Контраст (%)
Contrast Smoothness , Контрастная гладкость
Contrast Swiss Mask , Контрастная швейцарская маска
Contrast with Highlights Protection , Контраст с защитой от бликов
Contrasty Afternoon , Контрастный полдень
Contrasty Green , Контрастный зеленый
Contributors , Авторы
Control Point 1 , Контрольная точка 1
Control Point 2 , Контрольная точка 2
Control Point 3 , Контрольная точка 3
Control Point 4 , Контрольная точка 4
Control Point 5 , Контрольная точка 5
Control Point 6 , Контрольная точка 6
Convolve , Волна
Cool , Крутой
Cool (256) , Круто (256)
Cool / Warm , Прохладно / тепло
Copper , Медь
Corner Brightness , Яркость углов
Correlated Channels , Связанные с Корреспондентами каналы
Counter Clockwise , Против часовой стрелки
Course 4 , Курс 4
Cracks , Трещины
Crease , Создать
Creative Pack (33) , Творческий пакет (33)
Crip Winter , Крип-зима
Crisp Romance , хрустящий роман
Crisp Warm , Хрустящее тепло
Criterion , Критерий
Crop , Обрезок
Crop (%) , Растениеводство (%)
Cross Process CP 130 , Кросс-процесс CP 130
Cross Process CP 14 , Кросс-процесс CP 14
Cross Process CP 15 , Кросс-процесс CP 15
Cross Process CP 16 , Кросс-процесс CP 16
Cross Process CP 18 , Кросс-процесс CP 18
Cross Process CP 3 , Кросс-процесс CP 3
Cross Process CP 4 , Кросс-процесс CP 4
Cross Process CP 6 , Кросс-процесс CP 6
Cross-Hatch Amount , Крестообразный люк
Crossed , Пересечённый
Crosses 1 , Кресты 1
Crosses 2 , Кресты 2
Crosshair , Перекрестие
CRT Sub-Pixels , ЭЛТ субпиксели
Crystal , Кристалл
Crystal Background , Хрустальный фон
