<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
Smoothing Style , Het gladstrijken van Stijl
Smoothing Type , Het gladmaken van Type
Smoothness , Gladheid
Smoothness (%) , Gladheid (%)
Smoothness (px) , Gladheid (px)
Smoothness Shadow , Gladheid Schaduw
Smoothness Type , Gladheid Type
Snowflake , Sneeuwvlokje
Snowflake 2 , Sneeuwvlokje 2
Snowflake Recursion , Sneeuwvlokje Recursie
Soft , Zacht
Soft  Light , Zacht licht
Soft Burn , Zachte verbranding
Soft Dodge , Zachte Dodge
Soft Fade , Zachte vervaging
Soft Glow , Zachte gloed
Soft Glow [Animated] , Zachte gloed [Geanimeerd]
Soft Light , Zacht licht
Soft Random Shades , Zachte Willekeurige Tinten
Soft Warming , Zachte Verwarming
Soften , Verzacht
Soften All Channels , Alle kanalen verzachten
Soften Guide , Verzacht Gids
Solarize , Solariseren
Solarize Color , Solariseren van de kleur
Solidify , Verstevigen
Solve Maze , Doolhof oplossen
Some , Enkele
Some Blue , Wat Blauw
Some Cyan , Een beetje cyaan
Some Green , Een beetje groen
Some Key , Wat Sleutel
Some Magenta , Sommige Magenta
Some Red , Een beetje rood
Some Yellow , Wat Geel
Sort Colors , Sorteer Kleuren
Sorting Criterion , Sorteercriteria
Source (%) , Bron (%)
Source Color #1 , Bronkleur #1
Source Color #10 , Bronkleur #10
Source Color #11 , Bronkleur #11
Source Color #12 , Bronkleur #12
Source Color #13 , Bronkleur #13
Source Color #14 , Bronkleur #14
Source Color #15 , Bronkleur #15
Source Color #16 , Bronkleur #16
Source Color #17 , Bronkleur #17
Source Color #18 , Bronkleur #18
Source Color #19 , Bronkleur #19
Source Color #2 , Bronkleur #2
Source Color #20 , Bronkleur #20
Source Color #21 , Bronkleur #21
Source Color #22 , Bronkleur #22
Source Color #23 , Bronkleur #23
Source Color #24 , Bronkleur #24
Source Color #3 , Bronkleur #3
Source Color #4 , Bronkleur #4
Source Color #5 , Bronkleur #5
Source Color #6 , Bronkleur #6
Source Color #7 , Bronkleur #7
Source Color #8 , Bronkleur #8
Source Color #9 , Bronkleur #9
Source X-Tiles , Bron X-Tegels
Source Y-Tiles , Bron Y-Tegels
Space , Ruimte
Spacing , Afstand
Span , Spanwijdte
Spatial Bandwidth , Ruimtelijke bandbreedte
Spatial Metric , Ruimtelijk Metrisch
Spatial Overlap , Ruimtelijke overlapping
Spatial Precision , Ruimtelijke precisie
Spatial Radius , Ruimtelijke Straal
Spatial Regularization , Ruimtelijke regularisatie
Spatial Sampling , Ruimtelijke bemonstering
Spatial Scale , Ruimtelijke schaal
Spatial Tolerance , Ruimtelijke tolerantie
Spatial Transition , Ruimtelijke Overgang
Spatial Variance , Ruimtelijke variatie
Special Effects , Speciale effecten
Specific Saturation , Specifieke verzadiging
Specify Different Output Size , Specificeer Verschillende Uitgangsgrootte
Specify HaldCLUT As , Geef HaldCLUT op als
Specular , Specifiek
Specular (%) , Specifiek (%)
Specular Centering , Specifiek centreren
Specular Intensity , Speculatieve intensiteit
Specular Light , Specifiek licht
Specular Lightness , Speculatieve lichtheid
Specular Shininess , Speculatieve Glanzigheid
Specular Size , Specifiek formaat
Speed , Snelheid
Sphere , Bol
Spiral , Spiraal
Spiral RGB , Spiraalvormige RGB
Spline Max Angle (deg) , Spline Max Hoek (deg)
Spline Max Length (px) , Spline Max Lengte (px)
Spline Roundness , Spline Rondheid
Split Base and Detail Output , Gesplitste basis en detailuitgang
Split Brightness / Colors , Split Helderheid / Kleuren
Split Details [Alpha] , Gesplitste details [Alpha]
Split Details [Gaussian] , Gesplitste details [Gaussian]
Split Details [Wavelets] , Gesplitste details [Wavelets]
Sponge , Spons
Spread , Verspreiden
Spread Amount , Gespreid bedrag
Spread Angles , Verspreidingshoeken
Spread Noise Amount , Gespreid geluidsbedrag
Spreading , Verspreiding
Spring Morning , Lentemorgen
Sprocket 231 , Tandwiel 231
Spy 29 , Spioneren 29
Square , Vierkant
Square (Inv.) , Vierkant (Inv.)
Square 1 , Vierkant 1
Square 2 , Vierkant 2
Square to Circle , Vierkant naar Cirkel
Squares , Pleinen
Squares (Outline) , Vierkanten (Overzicht)
SRGB Conversion , SRGB-omzetting
Stabilizer , Stabilisator
Stained Glass , Gebrandschilderd glas
Stamp , Stempel
Standard , Standaard
Standard (256) , Standaard (256)
Standard [No Scan] , Standaard [Geen scan]
Standard Deviation , Standaardafwijking
Star , Ster
Star: -5*(z^3/3-Z/4)/2 , Ster: -5*(z^3/3-Z/4)/2
Stars , Sterren
Stars (Outline) , Sterren (overzicht)
Start Angle , Starthoek
Start Color , Startkleur
Start Frame Number , Startframenummer
Start of Mid-Tones , Begin van de Mid-Tones
Starting Angle , Starthoek
Starting Color , Beginnende kleur
Starting Feathering , Starten met veren
Starting Frame , Startframe
Starting Level , Beginnend niveau
Starting Pattern , Startpatroon
Starting Point , Uitgangspunt
Starting Point (%) , Uitgangspunt (%)
Starting Scale (%) , Beginschaal (%)
Starting Value , Beginwaarde
Stationary Frames , Stationaire Frames
Std Angle (deg.) , Std Hoek (deg.)
Std Branching , Std Vertakking
Std Length Factor (%) , Std Lengte Factor (%)
Std Thickness Factor (%) , Std-diktefactor (%)
Stencil Type , Sjabloontype
Step , Stap
Step (%) , Stap (%)
Steps , Stappen
Stereo Image , Stereobeeld
Stereo Window Position , Stereo Venster Positie
Stereographic Projection , Stereografische projectie
Stereoscopic Image Alignment , Stereoscopische beelduitlijning
Stereoscopic Window Position , Stereoscopische vensterpositie
Straight , Rechtstreeks
Street , Straat
Strength , Sterkte
Strength (%) , Sterkte (%)
Strength Effect , Sterkte-effect
Strength Highlights , Sterkte Highlights
Strength Midtones , Kracht Midtonen
Strength Shadows , Kracht Schaduwen
Stretch , Rekken
Stretch Colors , Stretch Kleuren
Stretch Contrast , Rekcontrast
Stretch Factor , Stretchfactor
Stripe Orientation , Streep Oriëntatie
Stroke , Slag
Stroke Angle , Slaghoek
Stroke Length , Slaglengte
Stroke Strength , Slagkracht
Strong , Sterke
Structure Smoothness , Structuur Gladheid
Style , Stijl
Style Variations , Stijlvariaties
Subdivisions , Onderverdelingen
Subpixel Interpolation , Subpixelinterpolatie
Subpixel Level , Subpixelniveau
Subsampling (%) , Subbemonstering (%)
Subtle Blue , Subtiel blauw
Subtle Green , Subtiel groen
Subtle Yellow , Subtiel Geel
Subtract , Aftrekken
Subtractive , Subtractief
Summer , Zomer
Summer (alt) , Zomer (alt)
Sunny , Zonnig
Sunny (alt) , Zonnig (alt)
Sunny (rich) , Zonnig (rijk)
Sunny (warm) , Zonnig (warm)
Super Warm (rich) , Super Warm (rijk)
Superformula , Superformule
Superimpose with Original? , Overstelpen met Origineel?
Surface Disturbance , Oppervlakteverstoring
Surface Disturbance Multiplier , Oppervlakteverstoring Vermenigvuldiger
Swan , Zwaan
Swap Colors , Swap Kleuren
Swap Layers , Swap Lagen
Swap Radius / Angle , Swap Radius / Hoek
Swap Sides , Swap Kanten
Sweet Bubblegum , Zoete Bubblegum
Sweet Gelatto , Zoete gelatoeage
Symmetric 2D Shape , Symmetrische 2D-vorm
Symmetrize , Symmetrie
Symmetry , Symmetrie
Symmetry Sides , Symmetrie zijden
Synthesis Scale , Syntheseschaal
Tangent Radius , Raaklijnstraal
Target Color #1 , Doelwitkleur #1
Target Color #10 , Doelwitkleur #10
Target Color #11 , Doelwitkleur #11
Target Color #12 , Doelwitkleur #12
Target Color #13 , Doelwitkleur #13
Target Color #14 , Doelwitkleur #14
Target Color #15 , Doelwitkleur #15
Target Color #16 , Doelwitkleur #16
Target Color #17 , Doelwitkleur #17
Target Color #18 , Doelwitkleur #18
Target Color #19 , Doelwitkleur #19
Target Color #2 , Doelwitkleur #2
Target Color #20 , Doelwitkleur #20
Target Color #21 , Doelwitkleur #21
Target Color #22 , Doelwitkleur #22
Target Color #23 , Doelwitkleur #23
Target Color #24 , Doelwitkleur #24
Target Color #3 , Doelwitkleur #3
Target Color #4 , Doelwitkleur #4
Target Color #5 , Doelwitkleur #5
Target Color #6 , Doelwitkleur #6
Target Color #7 , Doelwitkleur #7
Target Color #8 , Doelwitkleur #8
Target Color #9 , Doelwitkleur #9
Teal Magenta Gold , Teal Magenta Goud
Teal Orange , Teal Oranje
Teal Orange 1 , Teal Oranje 1
Teal Orange 2 , Teal Oranje 2
Teal Orange 3 , Teal Oranje 3
TechnicalFX - Backlight Filter , TechnicalFX - Achtergrondverlichtingsfilter
Temperature Balance , Temperatuursaldo
Ten Layers , Tien lagen
Tends to Be Square , De neiging om vierkant te zijn
Tension Green 1 , Spanning Groen 1
Tension Green 2 , Spanning Groen 2
Tension Green 3 , Spanning Groen 3
Tension Green 4 , Spanning Groen 4
Tensor Smoothness , Tensor Gladheid
Tertiary Factor , Tertiaire factor
Tertiary Gamma , Tertiair Gamma
Tertiary Shift , Tertiaire verschuiving
Tertiary Twist , Tertiaire Twist
Text , Tekst
Texture , Textuur
Texture Enhance , Textuurverbetering
Textured Glass , Getextureerd glas
The Game of Life , Het spel van het leven
The Matrices , De Matrices
Thickness , Dikte
Thickness (%) , Dikte (%)
Thickness (px) , Dikte (px)
Thickness Factor , Diktefactor
Thin Edges , Dunne randen
Thin Separators , Dunne separatoren
Thinness , Dunheid
Thinning , Verdunning
Thinning (Slow) , Uitdunnen (Langzaam)
Three Layers , Drie lagen
Threshold , Drempelwaarde
Threshold (%) , Drempel (%)
Threshold Etch , Drempelwaarde-etch
Threshold High , Drempelwaarde hoog
Threshold Low , Drempel Laag
Threshold Max , Drempel Max.
Threshold Mid , Drempelwaarde Midden
Threshold On , Drempelwaarde op
Thumbnail Size , Miniatuurafmeting
Tiger , Tijger
Tile Poles , Tegelpalen
Tile Size , Tegelgrootte
Tileable Rotation , Tegelvormige rotatie
Tiled Isolation , Betegelde Isolatie
Tiled Normalization , Betegelde Normalisatie
Tiled Parameterization , Betegelde parametrering
Tiled Preview , Betegelde preview
Tiled Random Shifts , Betegelde willekeurige verschuivingen
Tiled Rotation , Betegelde rotatie
Tiles , Tegels
Tiles to Layers , Tegels naar lagen
Tilt , Kantelen
Time , Tijd
Time Step , Tijd Stap
Timed Image , Getimede afbeelding
Tiny , Kleine
To Equirectangular , Naar Equirectangular
To Nadir / Zenith , Naar Nadir / Zenith
Toasted Garden , Geroosterde Tuin
Toggle to View Base Image , Omschakelen naar de basisafbeelding
Tolerance , Tolerantie
Tolerance to Gaps , Tolerantie voor gaten
Tonal Bandwidth , Tonale bandbreedte
Tone Blur , Toonvervaging
Tone Enhance , Toonvergroting
Tone Gamma , Toon gamma
Tone Mapping , Toonkaarten
Tone Mapping (%) , Toonhoogtebepaling (%)
Tone Mapping [Fast] , Toonkaarten [Snel]
Tone Mapping Fast , Toonkaarten snel
Tone Mapping Soft , Toonhoogte Zacht
Tone Presets , Toon Toon Toonregeling
Tone Threshold , Toongrens
Tones Range , Toonbereik
Tones Smoothness , Tonen Gladheid
Tones to Layers , Tonen naar lagen
Top Layer , Bovenste laag
Top Left , Linksboven
Top Right , Rechtsboven
Top-Right Vertex (%) , Top-rechtse hoek (%)
Total Layers , Totaal aantal lagen
Total Variation , Totale variatie
Transfer Colors [Histogram] , Overdrachtskleuren [Histogram]
Transfer Colors [Patch-Based] , Overdrachtskleuren [Patch-Based]
Transfer Colors [PCA] , Overdrachtskleuren [PCA]
Transfer Colors [Variational] , Overdrachtskleuren [Variant]
Transform , Transformeer
Transition Map , Overgangskaart
Transition Shape , Overgangsvorm
Transition Smoothness , Overgangssoepelheid
Transmittance Map , Overdrachtskaart
Transparency , Transparantie
Transparent , Transparant
Transparent Background , Transparante achtergrond
Transparent Black & White , Transparant zwart-wit
Transparent Color , Transparante kleur
Transparent on Black , Transparant op zwart
Transparent on White , Transparant op Wit
Transparent Skin , Transparante huid
Tree , Boom
Triangle , Driehoek
Triangles , Driehoeken
Triangles (Outline) , Driehoeken (overzicht)
Triangular Ha , Driehoekige Ha
Triangular Hb , Driehoekig Hb
Triangular Va , Driehoekige Va
Triangular Vb , Driehoekig Vb
Tritanomaly , Tritanomalie
True Colors 8 , Ware kleuren 8
Trunk Color , Boomstamkleur
Trunk Opacity (%) , Boomstamopaciteit (%)
Trunks , Koffers
Tulips , Tulpen
Turbulence , Turbulentie
Turbulence 2 , Turbulentie 2
Turbulent Halftone , Turbulente Halftoon
Turn on Rotate and Twirl , Aanzetten Draaien en Twirlennen
Twisted Rays , Gedraaide stralen
Two Layers , Twee lagen
Two Threads , Twee draden
Two-By-Two , Twee-bij-twee
Type Snowflake , Type Sneeuwvlokje
Unaligned Images , Onafgestemde beelden
Undeniable , Onmiskenbaar
Undeniable 2 , Onmiskenbaar 2
Underwater , Onderwater
Undo Anaglyph , Anaglyph ongedaan maken
Unknown , Onbekend
Unpurple , Onzuivere
Unsharp Mask , Onscherp Masker
Untwist , Ontwijken
Up-Left , Up-Links
Up-Right , Rechtsboven
Upper Layer Is the Top Layer for All Blends , Bovenste laag is de bovenste laag voor alle mengsels
Upper Side Orientation , Bovenzijde Oriëntatie
Uppercase Letters , Hoofdletters
Upscale [Diffusion] , Upscale [Verspreiding]
Urban Cowboy , Stedelijke Cowboy
Use as Hue , Gebruik als Tint
Use as Saturation , Gebruik als verzadiging
Use Individual Depth Map , Gebruik de individuele dieptekaart
Use Light , Gebruikslicht
Use Maximum Tones , Gebruik Maximale Tonen
Use Top Layer as a Priority Mask , Gebruik de bovenste laag als een prioritair masker
User-Defined , Door de gebruiker gedefinieerd
User-Defined (Bottom Layer) , Door de gebruiker gedefinieerd (bodemlaag)
Uzbek Bukhara , Oezbeekse Bukhara
Uzbek Marriage , Oezbeeks Huwelijk
Uzbek Samarcande , Oezbeekse Samarcande
Val Range , Val Val range
Value , Waarde
Value Action , Waarde Actie
Value Blending , Waarde mengen
Value Bottom , Waarde Bodem
Value Correction , Waardecorrectie
Value Factor , Waardefactor
Value Normalization , Waarde Normalisatie
Value Offset , Waardecorrectie
Value Precision , Waarde Precisie
Value Range , Waardebereik
Value Scale , Waardeschaal
Value Shift , Waardeverschuiving
Value Smoothness , Waarde Gladheid
Value Top , Waarde Top
Value Variance , Waardevariatie
Values , Waarden
Van Gogh: Almond Blossom , Van Gogh: Amandelbloesem
Van Gogh: Irises , Van Gogh: Irissen
Van Gogh: The Starry Night , Van Gogh: De sterrennacht
Van Gogh: Wheat Field with Crows , Van Gogh: Korenveld met kraaien
Variability , Variabiliteit
Variance , Variant
Variation A , Variatie A
Variation B , Variatie B
Variation C , Variatie C
Vector Painting , Vector Schilderen
Velocity , Snelheid
Vertex Type , Hoekpunt Type
Vertical , Verticaal
Vertical (%) , Verticaal (%)
Vertical 1 Amount , Verticaal 1 Bedrag
Vertical 1 Length , Verticaal 1 Lengte
Vertical 2 Amount , Verticaal 2 Bedrag
Vertical 2 Length , Verticaal 2 Lengte
Vertical Amount , Verticaal Bedrag
Vertical Array , Verticale Serie
Vertical Blur , Verticale vervaging
Vertical Length , Verticale lengte
Vertical Size (%) , Verticale grootte (%)
Vertical Stripes , Verticale strepen
Vertical Tiles , Verticale tegels
Very Course 5 , Zeer Cursus 5
Very Fine , Zeer Fijn
Very High , Zeer hoog
Very High (Even Slower) , Zeer hoog (zelfs langzamer)
Very Warm Greenish , Zeer warm groenachtig
Vibrant , Levendige
Vibrant (alien) , Levendig (vreemdeling)
Vibrant (contrast) , Levendig (contrast)
Vibrant (crome-Ish) , Levendig (crome-Ish)
Victory , Overwinning
View Outlines Only , Alleen hoofdlijnen bekijken
View Resolution , Bekijk de resolutie
Vignette , Vignet
Vignette Contrast , Vignetcontrast
Vignette Max Radius , Vignet Max Radius
Vignette Min Radius , Vignet Min Radius
Vignette Size , Vignetgrootte
Vignette Strength , Vignetsterkte
Vignette Strenth , Vignet Strenth
Vintage (brighter) , Vintage (helderder)
Vintage Chrome , Vintage Chroom
Vintage Style , Vintage Stijl
Vintage Warmth 1 , Vintage Warmte 1
Virtual Landscape , Virtueel landschap
Visible Watermark , Zichtbaar watermerk
Vivid Edges , Levendige randen
Vivid Edges* , Levendige randen*
Vivid Light , Levendig licht
Vivid Screen , Levendig scherm
Wall , Muur
Warm (highlight) , Warm (hoogtepunt)
Warm (yellow) , Warm (geel)
Warm Dark Contrasty , Warme donkere contrasten
Warm Fade , Warme Fade
Warm Fade 1 , Warme Fade 1
Warm Neutral , Warm Neutraal
Warm Sunset Red , Warme zonsondergang rood
Warm Teal , Warm Wintertaling
Warm Vintage , Warme Vintage
Warp [Interactive] , Warp [Interactief]
Warp by Intensity , Scheeftrekking door intensiteit
Waterfall , Waterval
Wave , Golfen
Wave(s) , Golf(en)
Wavelength , Golflengte
Waves Amplitude , Golven Amplitude
Waves Smoothness , Golven Gladheid
We'll See , We zullen zien.
Weave , Weven
Weird , Vreemd
Whirl Drawing , Wervelende tekening
White , Wit
White Dices , Witte dobbelstenen
White Layers , Witte lagen
White Level , Wit niveau
White on Black , Wit op zwart
White on Transparent , Wit op Transparant
White on Transparent Black , Wit op Transparant Zwart
White Point , Witte punt
White to Black , Wit tot zwart
White Walls , Witte muren
Whiter Whites , Witten
Whites , Blanken
Width , Breedte
Width (%) , Breedte (%)
Winter Lighthouse , Wintervuurtoren
Wipe , Veeg
Wiremap , Draadkaart
Without , Zonder
Wooden Gold 20 , Houten Goud 20
Work on Frameset , Werken aan Frameset
Wrap , Wikkel
X Center , X Centrum
X-Axis Then Y-Axis , X-Axis Dan Y-Axis
X-Coordinate [Manual] , X-Coordinate [Handleiding]
X-Dispersion , X-Dispersie
X-Ratio , X-verhouding
X-Rotation , X-Rotatie
X-Scale , X-Schaal
X-Variations , X-Variaties
X/Y-Ratio , X/Y-verhouding
X1 (none) , X1 (geen)
Xor , Xof
XY Mirror , XY Spiegel
XY-Coordinates (%) , XY-Coordinaten (%)
Y Center , Y-Centrum
Y-Axis Then X-Axis , Y-Axis Dan X-Axis
Y-Coordinate [Manual] , Y-Coordinate [Handleiding]
Y-Dispersion , Y-Dispersie
Y-Ratio , Y-verhouding
Y-Rotation , Y-Rotatie
Y-Scale , Y-Schaal
Y-Variations , Y-variaties
YAG Effect , YAG-effect
YCbCr (Chroma Only) , YCbCr (alleen Chroma)
YCbCr (Distinct) , YCbCr (Onderscheiden)
YCbCr (Luma Only) , YCbCr (alleen Luma)
YCbCr (Mixed) , YCbCr (Gemengd)
YCbCr [Luminance] , YCbCr [Luminantie]
Yellow , Geel
Yellow 55B , Geel 55B
Yellow Factor , Gele factor
Yellow Film 01 , Gele film 01
Yellow Shift , Gele Verschuiving
Yellow Smoothness , Geel Gladheid
YES8 , JA8
You Can Do It , Je kunt het doen.
Z-Angle , Z-Angel
Z-Rotation , Z-Rotatie
Z-Scale , Z-Schaal
Z^^6 + Z^^3 - 1 , Z^^6 + Z^3 - 1
Z^^8 + 15*z^^4 - 1 , Z^8 + 15*z^4 - 1
Zero , Nul
ZilverFX - B&W Solarization , ZilverFX - Zonne-energie in zwart-wit
ZilverFX - InfraRed , ZilverFX - Infrarood
ZilverFX - Vintage B&W , ZilverFX - Vintage Z&W
Zone System , Zone-systeem
Zoom , Zoomen
Zoom Center , Zoom Zoom Centrum
Zoom Factor , Zoomfactor
Zoom In , Inzoomen
Zoom Out , Uitzoomen
